the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate
fisch,0,1,0.15,0,13,13,15,1,conditions/german/pisch_3_2.wav,conditions/german/fisch_3_2.wav,conditions/german/pake_3_2.wav,conditions/german/pike_3_2.wav,16,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,0,1,0.0228,0,14,14,7,1,conditions/german/pisch_2_1.wav,conditions/german/fisch_2_1.wav,conditions/german/pake_2_1.wav,conditions/german/pike_2_1.wav,8,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,1,0,0.0353,0,15,15,2,1,conditions/german/pisch_1_3.wav,conditions/german/fisch_1_3.wav,conditions/german/pake_1_3.wav,conditions/german/pike_1_3.wav,3,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,0,1,0.1062,0,16,16,39,1,conditions/german/pisch_6_5.wav,conditions/german/fisch_6_5.wav,conditions/german/pake_6_5.wav,conditions/german/pike_6_5.wav,40,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,1,0,0.0848,0,17,17,4,1,conditions/german/pisch_1_5.wav,conditions/german/fisch_1_5.wav,conditions/german/pake_1_5.wav,conditions/german/pike_1_5.wav,5,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pisch,0,1,0.0043,0,18,18,1,1,conditions/german/pisch_1_2.wav,conditions/german/fisch_1_2.wav,conditions/german/pake_1_2.wav,conditions/german/pike_1_2.wav,2,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pisch,1,0,0.0863,0,19,19,36,1,conditions/german/pisch_6_2.wav,conditions/german/fisch_6_2.wav,conditions/german/pake_6_2.wav,conditions/german/pike_6_2.wav,37,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,1,0,0.0271,0,20,20,47,1,conditions/german/pisch_7_6.wav,conditions/german/fisch_7_6.wav,conditions/german/pake_7_6.wav,conditions/german/pike_7_6.wav,48,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pisch,0,1,0.022,0,21,21,28,1,conditions/german/pisch_5_1.wav,conditions/german/fisch_5_1.wav,conditions/german/pake_5_1.wav,conditions/german/pike_5_1.wav,29,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pake,1,0,0.0506,0,22,22,19,1,conditions/german/pisch_3_6.wav,conditions/german/fisch_3_6.wav,conditions/german/pake_3_6.wav,conditions/german/pike_3_6.wav,20,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,0,0,0.0438,0,23,23,0,1,conditions/german/pisch_1_1.wav,conditions/german/fisch_1_1.wav,conditions/german/pake_1_1.wav,conditions/german/pike_1_1.wav,1,1,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pisch,1,0,0.0836,0,24,24,43,1,conditions/german/pisch_7_2.wav,conditions/german/fisch_7_2.wav,conditions/german/pake_7_2.wav,conditions/german/pike_7_2.wav,44,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
fisch,1,0,0.0861,0,25,25,45,1,conditions/german/pisch_7_4.wav,conditions/german/fisch_7_4.wav,conditions/german/pake_7_4.wav,conditions/german/pike_7_4.wav,46,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pake,1,0,0.0039,0,26,26,44,1,conditions/german/pisch_7_3.wav,conditions/german/fisch_7_3.wav,conditions/german/pake_7_3.wav,conditions/german/pike_7_3.wav,45,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pake,0,1,0.0534,0,27,27,13,1,conditions/german/pisch_2_7.wav,conditions/german/fisch_2_7.wav,conditions/german/pake_2_7.wav,conditions/german/pike_2_7.wav,14,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pisch,1,0,0.0159,0,28,28,41,1,conditions/german/pisch_6_7.wav,conditions/german/fisch_6_7.wav,conditions/german/pake_6_7.wav,conditions/german/pike_6_7.wav,42,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
fisch,0,1,0.1005,0,29,29,31,1,conditions/german/pisch_5_4.wav,conditions/german/fisch_5_4.wav,conditions/german/pake_5_4.wav,conditions/german/pike_5_4.wav,32,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pake,1,0,0.062,0,30,30,11,1,conditions/german/pisch_2_5.wav,conditions/german/fisch_2_5.wav,conditions/german/pake_2_5.wav,conditions/german/pike_2_5.wav,12,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,1,0,0.0604,0,31,31,35,1,conditions/german/pisch_6_1.wav,conditions/german/fisch_6_1.wav,conditions/german/pake_6_1.wav,conditions/german/pike_6_1.wav,36,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
