"","prolific_id","phoneme","language","language_chosen","L1","mode"
"117","5898b6e256357700011c2c6b","u","French","eng","English","perception"
"118","5898b6e256357700011c2c6b","schwa_a","French","eng","English","perception"
"119","5898b6e256357700011c2c6b","schwa_a","French","eng","English","perception"
"120","5898b6e256357700011c2c6b","i","French","eng","English","perception"
"121","5a08c9a7f2e3460001edb063","schwa_a","French","eng","English","perception"
"122","5a08c9a7f2e3460001edb063","o","French","eng","English","perception"
"123","5a08c9a7f2e3460001edb063","u","French","span","English","perception"
"124","5a08c9a7f2e3460001edb063","schwa_a","French","eng","English","perception"
"125","5a08c9a7f2e3460001edb063","i","French","eng","English","perception"
"126","5a08c9a7f2e3460001edb063","i","French","span","English","perception"
"127","5a08c9a7f2e3460001edb063","u","French","span","English","perception"
"128","5a08c9a7f2e3460001edb063","o","French","eng","English","perception"
"129","5a08c9a7f2e3460001edb063","u","French","span","English","perception"
"130","5a08c9a7f2e3460001edb063","i","French","eng","English","perception"
"131","5a08c9a7f2e3460001edb063","o","French","eng","English","perception"
"132","5a08c9a7f2e3460001edb063","schwa_a","French","eng","English","perception"
"133","5a08c9a7f2e3460001edb063","schwa_a","French","eng","English","perception"
"134","5a08c9a7f2e3460001edb063","u","French","span","English","perception"
"135","5a08c9a7f2e3460001edb063","o","French","eng","English","perception"
"136","5a08c9a7f2e3460001edb063","i","French","eng","English","perception"
"137","5a08c9a7f2e3460001edb063","u","French","eng","English","perception"
"138","5a08c9a7f2e3460001edb063","schwa_a","French","eng","English","perception"
"139","5a08c9a7f2e3460001edb063","o","French","eng","English","perception"
"140","5a08c9a7f2e3460001edb063","i","French","eng","English","perception"
"141","5a08c9a7f2e3460001edb063","o","French","eng","English","perception"
"142","5a08c9a7f2e3460001edb063","schwa_a","French","eng","English","perception"
"143","5a08c9a7f2e3460001edb063","i","French","span","English","perception"
"144","5a08c9a7f2e3460001edb063","u","French","span","English","perception"
"145","5a08c9a7f2e3460001edb063","i","French","span","English","perception"
"146","5a08c9a7f2e3460001edb063","u","French","span","English","perception"
"147","5a08c9a7f2e3460001edb063","o","French","eng","English","perception"
"148","5a08c9a7f2e3460001edb063","schwa_a","French","eng","English","perception"
"149","5a08c9a7f2e3460001edb063","u","French","eng","English","perception"
"150","5a08c9a7f2e3460001edb063","i","French","eng","English","perception"
"151","5a08c9a7f2e3460001edb063","o","French","eng","English","perception"
"152","5a08c9a7f2e3460001edb063","schwa_a","French","eng","English","perception"
"153","5a08c9a7f2e3460001edb063","u","French","span","English","perception"
"154","5a08c9a7f2e3460001edb063","i","French","eng","English","perception"
"155","5a08c9a7f2e3460001edb063","o","French","eng","English","perception"
"156","5a08c9a7f2e3460001edb063","o","French","eng","English","perception"
"157","5a08c9a7f2e3460001edb063","u","French","span","English","perception"
"158","5a08c9a7f2e3460001edb063","i","French","eng","English","perception"
"159","5a08c9a7f2e3460001edb063","schwa_a","French","eng","English","perception"
"160","5a08c9a7f2e3460001edb063","schwa_a","French","eng","English","perception"
"161","5a08ddd0df3fa800015c36ac","u","French","span","English","perception"
"162","5a08ddd0df3fa800015c36ac","schwa_a","French","eng","English","perception"
"163","5a08ddd0df3fa800015c36ac","o","French","eng","English","perception"
"164","5a08ddd0df3fa800015c36ac","o","French","eng","English","perception"
"165","5a08ddd0df3fa800015c36ac","schwa_a","French","eng","English","perception"
"166","5a08ddd0df3fa800015c36ac","i","French","span","English","perception"
"167","5a08ddd0df3fa800015c36ac","u","French","span","English","perception"
"168","5a08ddd0df3fa800015c36ac","i","French","span","English","perception"
"169","5a08ddd0df3fa800015c36ac","o","French","eng","English","perception"
"170","5a08ddd0df3fa800015c36ac","schwa_a","French","eng","English","perception"
"171","5a08ddd0df3fa800015c36ac","schwa_a","French","eng","English","perception"
"172","5a08ddd0df3fa800015c36ac","u","French","span","English","perception"
"173","5a08ddd0df3fa800015c36ac","i","French","span","English","perception"
"174","5a08ddd0df3fa800015c36ac","u","French","span","English","perception"
"175","5a08ddd0df3fa800015c36ac","i","French","span","English","perception"
"176","5a08ddd0df3fa800015c36ac","o","French","eng","English","perception"
"177","5a08ddd0df3fa800015c36ac","schwa_a","French","eng","English","perception"
"178","5a08ddd0df3fa800015c36ac","i","French","eng","English","perception"
"179","5a08ddd0df3fa800015c36ac","i","French","span","English","perception"
"180","5a08ddd0df3fa800015c36ac","u","French","eng","English","perception"
"181","5a08ddd0df3fa800015c36ac","schwa_a","French","eng","English","perception"
"182","5a08ddd0df3fa800015c36ac","o","French","eng","English","perception"
"183","5a08ddd0df3fa800015c36ac","u","French","span","English","perception"
"184","5a08ddd0df3fa800015c36ac","o","French","eng","English","perception"
"185","5a08ddd0df3fa800015c36ac","schwa_a","French","eng","English","perception"
"186","5a08ddd0df3fa800015c36ac","i","French","span","English","perception"
"187","5a08ddd0df3fa800015c36ac","u","French","span","English","perception"
"188","5a08ddd0df3fa800015c36ac","u","French","span","English","perception"
"189","5a08ddd0df3fa800015c36ac","o","French","span","English","perception"
"190","5a08ddd0df3fa800015c36ac","schwa_a","French","span","English","perception"
"191","5a08ddd0df3fa800015c36ac","o","French","span","English","perception"
"192","5a08ddd0df3fa800015c36ac","i","French","span","English","perception"
"193","5a08ddd0df3fa800015c36ac","u","French","span","English","perception"
"194","5a08ddd0df3fa800015c36ac","schwa_a","French","eng","English","perception"
"195","5a08ddd0df3fa800015c36ac","i","French","span","English","perception"
"196","5a08ddd0df3fa800015c36ac","o","French","eng","English","perception"
"197","5a08ddd0df3fa800015c36ac","o","French","eng","English","perception"
