"","f1e","f2e","language","participant","text","group","consonant","phoneme"
"184","366.30","1875.83","German","509322","puf","L1 English monolingual","p","u"
"185","446.20","869.40","German","509322","fof","L1 English monolingual","f","o"
"186","700.89","1191.33","German","509322","faf","L1 English monolingual","f","schwa"
"187","533.94","828.08","German","509322","pof","L1 English monolingual","p","o"
"188","352.01","1966.33","German","509322","fuf","L1 English monolingual","f","u"
"189","332.13","1793.31","German","509322","puf","L1 English monolingual","p","u"
"190","321.15","2678.09","German","509322","pif","L1 English monolingual","p","i"
"191","730.03","1317.70","German","509322","faf","L1 English monolingual","f","schwa"
"192","396.10","1355.19","english","509322","poof","L1 English monolingual","p","u"
"193","713.72","1085.82","english","509322","poff","L1 English monolingual","p","o"
"194","451.41","2337.52","english","509322","peef","L1 English monolingual","p","i"
"195","691.96","1294.97","english","509322","puff","L1 English monolingual","p","schwa"
"196","401.00","1297.90","english","509322","poof","L1 English monolingual","p","u"
"197","386.51","2700.77","english","509322","peef","L1 English monolingual","p","i"
"198","357.37","2771.86","english","509322","feef","L1 English monolingual","f","i"
"199","393.06","1370.40","english","509322","foof","L1 English monolingual","f","u"
"200","733.17","1149.82","english","509322","poff","L1 English monolingual","p","o"
"201","678.26","1074.24","english","509322","foff","L1 English monolingual","f","o"
"202","597.78","1152.27","english","509322","fuff","L1 English monolingual","f","schwa"
"203","342.68","2811.64","english","509322","peef","L1 English monolingual","p","i"
"204","705.84","1222.99","english","509322","fuff","L1 English monolingual","f","schwa"
"205","705.01","1252.73","english","509322","puff","L1 English monolingual","p","schwa"
"206","350.59","2813.88","english","509322","feef","L1 English monolingual","f","i"
"207","349.29","2734.55","english","509322","feef","L1 English monolingual","f","i"
"208","702.34","1108.64","english","509322","poff","L1 English monolingual","p","o"
"209","713.50","1280.36","english","509322","puff","L1 English monolingual","p","schwa"
"210","710.99","1086.61","english","509322","foff","L1 English monolingual","f","o"
"211","400.09","1391.46","english","509322","foof","L1 English monolingual","f","u"
"212","411.11","1453.55","english","509322","poof","L1 English monolingual","p","u"
"213","711.65","1307.24","english","509322","fuff","L1 English monolingual","f","schwa"
"214","392.44","1286.94","english","509322","foof","L1 English monolingual","f","u"
"215","718.65","1080.85","english","509322","foff","L1 English monolingual","f","o"
"216","786.70","1425.17","German","509331","faf","L1 English monolingual","f","schwa"
"217","794.83","1280.51","German","509331","paf","L1 English monolingual","p","schwa"
"218","792.80","1390.92","German","509331","paf","L1 English monolingual","p","schwa"
"219","762.49","1418.18","German","509331","faf","L1 English monolingual","f","schwa"
"220","394.41","1730.75","German","509331","puf","L1 English monolingual","p","u"
"221","553.24","901.87","German","509331","pof","L1 English monolingual","p","o"
"222","1223.89","2600.33","German","509331","pif","L1 English monolingual","p","i"
"223","477.47","1523.19","German","509331","fuf","L1 English monolingual","f","u"
"224","536.56","896.85","German","509331","pof","L1 English monolingual","p","o"
"225","479.02","1275.15","German","509331","puf","L1 English monolingual","p","u"
"226","395.26","856.51","German","509331","fof","L1 English monolingual","f","o"
"227","888.35","2540.90","German","509331","pif","L1 English monolingual","p","i"
"228","466.55","2416.50","German","509331","fif","L1 English monolingual","f","i"
"229","469.90","1271.18","German","509331","fuf","L1 English monolingual","f","u"
"230","731.20","1507.36","German","509331","faf","L1 English monolingual","f","schwa"
"231","345.03","2537.51","German","509331","pif","L1 English monolingual","p","i"
"232","496.09","828.33","German","509331","pof","L1 English monolingual","p","o"
"233","439.93","817.34","German","509331","fof","L1 English monolingual","f","o"
"234","880.53","1391.54","German","509331","paf","L1 English monolingual","p","schwa"
"235","449.93","2579.41","German","509331","fif","L1 English monolingual","f","i"
"236","548.95","825.49","German","509331","fof","L1 English monolingual","f","o"
"237","760.86","2756.90","German","509331","fif","L1 English monolingual","f","i"
"238","375.07","1738.42","German","509331","fuf","L1 English monolingual","f","u"
"239","380.56","1418.10","German","509331","puf","L1 English monolingual","p","u"
"240","549.09","1403.05","french","509331","pof","L1 English monolingual","p","o"
"241","639.10","1601.51","french","509331","paf","L1 English monolingual","p","schwa"
"242","406.15","2329.58","french","509331","fif","L1 English monolingual","f","i"
"243","748.72","2531.65","french","509331","pif","L1 English monolingual","p","i"
"244","402.92","2609.88","french","509331","fif","L1 English monolingual","f","i"
"245","359.51","2086.01","french","509331","puf","L1 English monolingual","p","u"
"246","664.05","1750.42","french","509331","paf","L1 English monolingual","p","schwa"
"247","397.02","2368.03","french","509331","fif","L1 English monolingual","f","i"
"248","623.10","1586.12","french","509331","faf","L1 English monolingual","f","schwa"
"249","642.45","1667.29","french","509331","faf","L1 English monolingual","f","schwa"
"250","613.13","1327.99","french","509331","fof","L1 English monolingual","f","o"
"251","551.21","1284.93","french","509331","fof","L1 English monolingual","f","o"
"252","567.46","1320.23","french","509331","pof","L1 English monolingual","p","o"
"253","564.80","1263.88","french","509331","pof","L1 English monolingual","p","o"
"254","379.98","1780.86","french","509331","puf","L1 English monolingual","p","u"
"255","706.66","1743.71","french","509331","paf","L1 English monolingual","p","schwa"
"256","420.58","1712.46","french","509331","fuf","L1 English monolingual","f","u"
"257","425.99","1509.74","french","509331","fuf","L1 English monolingual","f","u"
"258","795.66","2049.21","french","509331","faf","L1 English monolingual","f","schwa"
"259","461.80","1812.40","french","509331","fuf","L1 English monolingual","f","u"
"260","696.90","2640.31","french","509331","pif","L1 English monolingual","p","i"
"261","732.23","2640.14","french","509331","pif","L1 English monolingual","p","i"
"262","499.74","1221.63","french","509331","fof","L1 English monolingual","f","o"
"263","384.24","1887.04","french","509331","puf","L1 English monolingual","p","u"
"264","350.95","2617.04","english","509331","feef","L1 English monolingual","f","i"
"265","778.18","1074.35","english","509331","foff","L1 English monolingual","f","o"
"266","421.76","1046.09","english","509331","foof","L1 English monolingual","f","u"
"267","775.84","1341.87","english","509331","puff","L1 English monolingual","p","schwa"
"268","460.52","1234.40","english","509331","poof","L1 English monolingual","p","u"
"269","655.48","2588.10","english","509331","feef","L1 English monolingual","f","i"
