"","file_name_append","text","language","word","file_copy"
"124","492814_blockNr_1_taskNr_6_trialNr_9_english_recording","poff","english","p_o","492814"
"125","492814_blockNr_1_taskNr_6_trialNr_10_english_recording","poof","english","p_u","492814"
"126","492814_blockNr_1_taskNr_6_trialNr_11_english_recording","puff","english","p_schwa","492814"
"127","492814_blockNr_1_taskNr_6_trialNr_13_english_recording","poff","english","p_o","492814"
"128","492814_blockNr_1_taskNr_6_trialNr_18_english_recording","peef","english","p_i","492814"
"129","492814_blockNr_1_taskNr_6_trialNr_19_english_recording","poof","english","p_u","492814"
"130","492814_blockNr_1_taskNr_6_trialNr_20_english_recording","puff","english","p_schwa","492814"
"131","492814_blockNr_1_taskNr_6_trialNr_21_english_recording","peef","english","p_i","492814"
"132","492814_blockNr_1_taskNr_6_trialNr_22_english_recording","puff","english","p_schwa","492814"
"133","492814_blockNr_1_taskNr_7_trialNr_1_spanish_recording","pif","spanish","p_i","492814"
"134","492814_blockNr_1_taskNr_7_trialNr_3_spanish_recording","pof","spanish","p_o","492814"
"135","492814_blockNr_1_taskNr_7_trialNr_7_spanish_recording","pif","spanish","p_i","492814"
"136","492814_blockNr_1_taskNr_7_trialNr_10_spanish_recording","paf","spanish","p_a","492814"
"137","492814_blockNr_1_taskNr_7_trialNr_11_spanish_recording","puf","spanish","p_u","492814"
"138","492814_blockNr_1_taskNr_7_trialNr_14_spanish_recording","pof","spanish","p_o","492814"
"139","492814_blockNr_1_taskNr_7_trialNr_15_spanish_recording","paf","spanish","p_a","492814"
"140","492814_blockNr_1_taskNr_7_trialNr_18_spanish_recording","pif","spanish","p_i","492814"
"141","492814_blockNr_1_taskNr_7_trialNr_19_spanish_recording","puf","spanish","p_u","492814"
"142","492814_blockNr_1_taskNr_7_trialNr_20_spanish_recording","paf","spanish","p_a","492814"
"143","492814_blockNr_1_taskNr_7_trialNr_21_spanish_recording","pof","spanish","p_o","492814"
"144","492814_blockNr_1_taskNr_7_trialNr_22_spanish_recording","puf","spanish","p_u","492814"
"145","492817_blockNr_1_taskNr_3_trialNr_3_German_recording","pif","German","p_i","492817"
"146","492817_blockNr_1_taskNr_3_trialNr_4_German_recording","paf","German","p_schwa","492817"
"147","492817_blockNr_1_taskNr_3_trialNr_5_German_recording","pif","German","p_i","492817"
"148","492817_blockNr_1_taskNr_3_trialNr_6_German_recording","pof","German","p_o","492817"
"149","492817_blockNr_1_taskNr_3_trialNr_10_German_recording","paf","German","p_schwa","492817"
"150","492817_blockNr_1_taskNr_3_trialNr_11_German_recording","pif","German","p_i","492817"
"151","492817_blockNr_1_taskNr_3_trialNr_14_German_recording","puf","German","p_u","492817"
"152","492817_blockNr_1_taskNr_3_trialNr_17_German_recording","pof","German","p_o","492817"
"153","492817_blockNr_1_taskNr_3_trialNr_18_German_recording","pof","German","p_o","492817"
"154","492817_blockNr_1_taskNr_3_trialNr_19_German_recording","paf","German","p_schwa","492817"
