"","f1e","f2e","language","text","file_name_append","consonant","phoneme","correct"
"141","459.43","892.54","english","fuff","499470_blockNr_1_taskNr_7_trialNr_12_english_recording","f","schwa","original"
"142","736.54","2186.97","spanish","pof","499473_blockNr_1_taskNr_7_trialNr_10_spanish_recording","p","o","original"
"143","957.11","2228.24","German","pif","499474_blockNr_1_taskNr_3_trialNr_20_German_recording","p","i","original"
"144","611.33","2152.57","German","fif","499474_blockNr_1_taskNr_3_trialNr_22_German_recording","f","i","original"
"145","761.94","1755.40","french","faf","499474_blockNr_1_taskNr_4_trialNr_1_french_recording","f","schwa","original"
"146","705.66","1163.71","english","foff","499474_blockNr_1_taskNr_6_trialNr_9_english_recording","f","o","original"
"147","706.76","1508.73","spanish","puf","499474_blockNr_1_taskNr_7_trialNr_19_spanish_recording","p","u","original"
"148","403.57","1120.92","German","fof","499475_blockNr_1_taskNr_3_trialNr_11_German_recording","f","o","original"
"149","319.66","1888.66","German","fuf","499475_blockNr_1_taskNr_3_trialNr_5_German_recording","f","u","original"
"150","773.87","1312.04","english","foof","499475_blockNr_1_taskNr_6_trialNr_11_english_recording","f","u","original"
"151","472.94","1365.40","french","pof","499477_blockNr_1_taskNr_3_trialNr_9_french_recording","p","o","original"
"152","431.10","855.84","German","fof","499477_blockNr_1_taskNr_4_trialNr_2_German_recording","f","o","original"
"153","1408.30","2013.27","french","fuf","499480_blockNr_1_taskNr_3_trialNr_7_french_recording","f","u","original"
"154","354.64","978.92","German","pof","499480_blockNr_1_taskNr_4_trialNr_24_German_recording","p","o","original"
"155","641.17","2174.31","english","feef","499480_blockNr_1_taskNr_6_trialNr_3_english_recording","f","i","original"
"156","378.89","737.95","spanish","fuf","499480_blockNr_1_taskNr_7_trialNr_15_spanish_recording","f","u","original"
"157","773.27","1216.49","German","faf","499483_blockNr_1_taskNr_4_trialNr_18_German_recording","f","schwa","original"
"158","661.31","1111.26","German","faf","499483_blockNr_1_taskNr_4_trialNr_2_German_recording","f","schwa","original"
"159","292.14","2164.07","spanish","pif","499483_blockNr_1_taskNr_7_trialNr_15_spanish_recording","p","i","original"
"160","765.34","1547.59","German","faf","499488_blockNr_1_taskNr_3_trialNr_15_German_recording","f","schwa","original"
"161","999.01","2026.49","french","fuf","499488_blockNr_1_taskNr_4_trialNr_3_french_recording","f","u","original"
"162","327.36","1324.62","spanish","pof","499488_blockNr_1_taskNr_6_trialNr_4_spanish_recording","p","o","original"
"163","421.09","2642.87","english","feef","499488_blockNr_1_taskNr_7_trialNr_13_english_recording","f","i","original"
"164","588.09","1577.41","english","fuff","499488_blockNr_1_taskNr_7_trialNr_17_english_recording","f","schwa","original"
"165","472.16","1493.14","english","foff","499488_blockNr_1_taskNr_7_trialNr_2_english_recording","f","o","original"
"166","441.59","2403.26","french","fif","499489_blockNr_1_taskNr_4_trialNr_2_french_recording","f","i","original"
"167","914.12","1292.73","english","puff","499497_blockNr_1_taskNr_6_trialNr_10_english_recording","p","schwa","original"
"168","654.69","1138.78","spanish","pof","499497_blockNr_1_taskNr_7_trialNr_10_spanish_recording","p","o","original"
"169","626.35","1248.81","french","fof","499504_blockNr_1_taskNr_4_trialNr_18_french_recording","f","o","original"
"170","793.04","1325.37","spanish","paf","499504_blockNr_1_taskNr_6_trialNr_6_spanish_recording","p","a","original"
"171","635.54","1627.01","french","faf","499507_blockNr_1_taskNr_3_trialNr_10_french_recording","f","schwa","original"
"172","821.90","1247.55","German","faf","499507_blockNr_1_taskNr_4_trialNr_21_German_recording","f","schwa","original"
"173","367.62","2203.02","english","peef","499507_blockNr_1_taskNr_7_trialNr_16_english_recording","p","i","original"
"174","507.90","1278.37","english","poof","499507_blockNr_1_taskNr_7_trialNr_7_english_recording","p","u","original"
"175","460.01","858.15","German","faf","499511_blockNr_1_taskNr_3_trialNr_2_German_recording","f","schwa","original"
"176","312.43","2353.74","french","fif","499511_blockNr_1_taskNr_4_trialNr_3_french_recording","f","i","original"
"177","628.47","1234.43","english","foff","499511_blockNr_1_taskNr_6_trialNr_6_english_recording","f","o","original"
"178","322.65","2444.03","spanish","pif","499511_blockNr_1_taskNr_7_trialNr_23_spanish_recording","p","i","original"
"179","737.70","1338.11","spanish","faf","499511_blockNr_1_taskNr_7_trialNr_7_spanish_recording","f","a","original"
"180","353.75","2352.53","spanish","pif","499511_blockNr_1_taskNr_7_trialNr_8_spanish_recording","p","i","original"
"181","856.45","1484.29","German","paf","499512_blockNr_1_taskNr_4_trialNr_2_German_recording","p","schwa","original"
"182","716.47","988.27","english","fuff","499512_blockNr_1_taskNr_7_trialNr_2_english_recording","f","schwa","original"
"183","394.56","969.24","German","pof","499514_blockNr_1_taskNr_4_trialNr_16_German_recording","p","o","original"
"184","744.80","1550.74","German","paf","499514_blockNr_1_taskNr_4_trialNr_18_German_recording","p","schwa","original"
"185","498.20","1224.18","french","faf","499515_blockNr_1_taskNr_4_trialNr_5_french_recording","f","schwa","original"
"186","460.99","1103.36","french","fof","499515_blockNr_1_taskNr_4_trialNr_6_french_recording","f","o","original"
"187","321.15","2240.27","spanish","pif","499515_blockNr_1_taskNr_6_trialNr_7_spanish_recording","p","i","original"
"188","388.41","996.13","english","foff","499515_blockNr_1_taskNr_7_trialNr_2_english_recording","f","o","original"
"189","417.40","1045.14","english","puff","499515_blockNr_1_taskNr_7_trialNr_3_english_recording","p","schwa","original"
"190","657.94","1700.00","German","fuf","499516_blockNr_1_taskNr_3_trialNr_1_German_recording","f","u","original"
"191","319.98","2516.62","english","feef","499516_blockNr_1_taskNr_6_trialNr_21_english_recording","f","i","original"
"192","744.11","1345.26","english","foff","499516_blockNr_1_taskNr_6_trialNr_3_english_recording","f","o","original"
"193","331.25","1075.86","english","poof","499516_blockNr_1_taskNr_6_trialNr_7_english_recording","p","u","original"
"194","788.57","1564.08","english","fuff","499516_blockNr_1_taskNr_6_trialNr_9_english_recording","f","schwa","original"
"195","749.23","1546.90","spanish","pof","499516_blockNr_1_taskNr_7_trialNr_22_spanish_recording","p","o","original"
"196","350.79","2793.91","German","pif","499525_blockNr_1_taskNr_4_trialNr_6_German_recording","p","i","original"
"197","372.12","849.83","spanish","fuf","499525_blockNr_1_taskNr_7_trialNr_2_spanish_recording","f","u","original"
"198","428.41","2070.03","German","fuf","499527_blockNr_1_taskNr_4_trialNr_16_German_recording","f","u","original"
"199","585.37","1217.63","spanish","fof","499527_blockNr_1_taskNr_6_trialNr_5_spanish_recording","f","o","original"
"200","306.95","1202.76","German","puf","499532_blockNr_1_taskNr_4_trialNr_12_German_recording","p","u","original"
"201","952.51","1488.48","German","faf","499532_blockNr_1_taskNr_4_trialNr_4_German_recording","f","schwa","original"
"202","502.36","873.86","German","fof","499532_blockNr_1_taskNr_4_trialNr_9_German_recording","f","o","original"
"203","773.79","1424.22","spanish","paf","499532_blockNr_1_taskNr_7_trialNr_3_spanish_recording","p","a","original"
"204","366.90","1967.47","french","pif","499536_blockNr_1_taskNr_4_trialNr_18_french_recording","p","i","original"
"205","378.60","935.23","spanish","fuf","499536_blockNr_1_taskNr_7_trialNr_3_spanish_recording","f","u","original"
"206","390.10","970.66","french","fof","499542_blockNr_1_taskNr_4_trialNr_9_french_recording","f","o","original"
"207","750.18","1454.73","spanish","paf","499542_blockNr_1_taskNr_6_trialNr_16_spanish_recording","p","a","original"
"208","439.17","1034.74","spanish","puf","499542_blockNr_1_taskNr_6_trialNr_20_spanish_recording","p","u","original"
"209","460.86","1693.32","french","faf","499553_blockNr_1_taskNr_3_trialNr_15_french_recording","f","schwa","original"
"210","557.49","1099.93","french","pof","499553_blockNr_1_taskNr_3_trialNr_5_french_recording","p","o","original"
"211","431.60","1039.18","German","pof","499553_blockNr_1_taskNr_4_trialNr_11_German_recording","p","o","original"
"212","305.21","2130.72","German","pif","499553_blockNr_1_taskNr_4_trialNr_21_German_recording","p","i","original"
"213","628.85","1074.37","english","foff","499557_blockNr_1_taskNr_6_trialNr_17_english_recording","f","o","original"
"214","570.73","1301.49","french","pof","499561_blockNr_1_taskNr_4_trialNr_2_french_recording","p","o","original"
"215","348.89","831.87","German","fof","499567_blockNr_1_taskNr_3_trialNr_3_German_recording","f","o","original"
"216","767.75","1023.71","french","faf","499567_blockNr_1_taskNr_4_trialNr_20_french_recording","f","schwa","original"
"217","796.57","1174.39","spanish","fuf","499567_blockNr_1_taskNr_6_trialNr_7_spanish_recording","f","u","original"
"218","469.04","2698.42","french","pif","499570_blockNr_1_taskNr_3_trialNr_24_french_recording","p","i","original"
"219","490.52","2048.56","french","pif","499570_blockNr_1_taskNr_3_trialNr_2_french_recording","p","i","original"
"220","467.22","2751.61","french","fif","499570_blockNr_1_taskNr_3_trialNr_6_french_recording","f","i","original"
"221","392.38","2377.36","German","pif","499574_blockNr_1_taskNr_3_trialNr_17_German_recording","p","i","original"
"222","766.58","1747.08","french","faf","499574_blockNr_1_taskNr_4_trialNr_20_french_recording","f","schwa","original"
"223","406.40","2408.39","spanish","fif","499574_blockNr_1_taskNr_7_trialNr_21_spanish_recording","f","i","original"
"224","408.26","1989.98","french","fif","499595_blockNr_1_taskNr_3_trialNr_11_french_recording","f","i","original"
"225","311.73","1766.77","German","fuf","499595_blockNr_1_taskNr_4_trialNr_7_German_recording","f","u","original"
"226","506.33","1753.65","english","foof","499595_blockNr_1_taskNr_7_trialNr_10_english_recording","f","u","original"
"227","546.88","1620.02","english","puff","499595_blockNr_1_taskNr_7_trialNr_9_english_recording","p","schwa","original"
"228","808.38","2621.35","french","pif","500068_blockNr_1_taskNr_3_trialNr_22_french_recording","p","i","original"
"229","817.65","1510.56","German","paf","500068_blockNr_1_taskNr_4_trialNr_9_German_recording","p","schwa","original"
"230","890.41","1696.98","spanish","paf","500068_blockNr_1_taskNr_6_trialNr_15_spanish_recording","p","a","original"
"231","845.45","1832.87","spanish","faf","500068_blockNr_1_taskNr_6_trialNr_7_spanish_recording","f","a","original"
"232","288.34","2566.11","German","fif","500081_blockNr_1_taskNr_3_trialNr_6_German_recording","f","i","original"
"233","950.90","1509.36","spanish","paf","500081_blockNr_1_taskNr_6_trialNr_9_spanish_recording","p","a","original"
"234","367.75","1994.60","German","puf","500100_blockNr_1_taskNr_3_trialNr_18_German_recording","p","u","original"
"235","894.47","1223.15","english","poff","500100_blockNr_1_taskNr_7_trialNr_23_english_recording","p","o","original"
"236","633.05","1181.86","french","pof","500111_blockNr_1_taskNr_3_trialNr_22_french_recording","p","o","original"
"237","620.76","1128.43","french","pof","500111_blockNr_1_taskNr_3_trialNr_3_french_recording","p","o","original"
"238","819.87","1230.03","German","faf","500111_blockNr_1_taskNr_4_trialNr_16_German_recording","f","schwa","original"
"239","317.35","2379.54","German","fif","500111_blockNr_1_taskNr_4_trialNr_2_German_recording","f","i","original"
"240","745.54","1116.15","english","puff","500111_blockNr_1_taskNr_7_trialNr_11_english_recording","p","schwa","original"
"241","402.66","832.31","english","poof","500111_blockNr_1_taskNr_7_trialNr_7_english_recording","p","u","original"
"242","364.73","2988.84","German","fif","500120_blockNr_1_taskNr_3_trialNr_12_German_recording","f","i","original"
"243","362.27","2918.98","German","pif","500120_blockNr_1_taskNr_3_trialNr_18_German_recording","p","i","original"
"244","371.85","2131.00","German","puf","500120_blockNr_1_taskNr_3_trialNr_3_German_recording","p","u","original"
"245","338.87","2915.90","english","peef","500120_blockNr_1_taskNr_6_trialNr_7_english_recording","p","i","original"
"246","422.52","1558.06","english","foof","500120_blockNr_1_taskNr_6_trialNr_9_english_recording","f","u","original"
"247","471.73","849.00","spanish","pof","500120_blockNr_1_taskNr_7_trialNr_3_spanish_recording","p","o","original"
"248","707.70","1828.18","German","puf","500137_blockNr_1_taskNr_4_trialNr_11_German_recording","p","u","original"
"249","720.33","2636.84","German","fif","500137_blockNr_1_taskNr_4_trialNr_21_German_recording","f","i","original"
"250","1003.13","1910.21","spanish","puf","500137_blockNr_1_taskNr_6_trialNr_17_spanish_recording","p","u","original"
"251","1016.59","1675.75","french","puf","500141_blockNr_1_taskNr_3_trialNr_21_french_recording","p","u","original"
"252","551.55","1584.96","english","poof","500141_blockNr_1_taskNr_6_trialNr_14_english_recording","p","u","original"
"253","688.15","1282.07","english","fuff","500141_blockNr_1_taskNr_6_trialNr_15_english_recording","f","schwa","original"
"254","418.05","2671.33","english","feef","500141_blockNr_1_taskNr_6_trialNr_4_english_recording","f","i","original"
"255","919.74","1784.85","spanish","faf","500151_blockNr_1_taskNr_7_trialNr_3_spanish_recording","f","a","original"
"256","404.08","2468.54","french","fif","500157_blockNr_1_taskNr_3_trialNr_23_french_recording","f","i","original"
"257","537.94","1586.37","spanish","faf","500179_blockNr_1_taskNr_6_trialNr_22_spanish_recording","f","a","original"
"258","378.91","1312.13","english","puff","500179_blockNr_1_taskNr_7_trialNr_17_english_recording","p","schwa","original"
"259","482.90","1251.03","spanish","fof","500181_blockNr_1_taskNr_6_trialNr_16_spanish_recording","f","o","original"
"260","416.38","2753.93","spanish","pif","500181_blockNr_1_taskNr_6_trialNr_21_spanish_recording","p","i","original"
"261","407.65","2718.66","spanish","fif","500181_blockNr_1_taskNr_6_trialNr_22_spanish_recording","f","i","original"
"262","401.82","2042.86","french","fuf","500187_blockNr_1_taskNr_4_trialNr_2_french_recording","f","u","original"
"263","671.80","1373.94","spanish","fuf","500187_blockNr_1_taskNr_6_trialNr_10_spanish_recording","f","u","original"
"264","684.94","1417.29","German","faf","500188_blockNr_1_taskNr_3_trialNr_17_German_recording","f","schwa","original"
"265","667.76","1052.06","German","faf","500188_blockNr_1_taskNr_3_trialNr_22_German_recording","f","schwa","original"
"266","457.58","2088.25","french","fuf","500188_blockNr_1_taskNr_4_trialNr_19_french_recording","f","u","original"
"267","598.44","1151.75","french","fof","500188_blockNr_1_taskNr_4_trialNr_9_french_recording","f","o","original"
"268","721.88","1063.96","english","foff","500188_blockNr_1_taskNr_6_trialNr_9_english_recording","f","o","original"
"269","749.53","1488.64","spanish","puf","500188_blockNr_1_taskNr_7_trialNr_17_spanish_recording","p","u","original"
"270","425.08","1702.75","french","puf","500205_blockNr_1_taskNr_3_trialNr_14_french_recording","p","u","original"
"271","730.39","1114.04","spanish","fof","500205_blockNr_1_taskNr_6_trialNr_11_spanish_recording","f","o","original"
"272","606.53","1765.78","french","paf","500213_blockNr_1_taskNr_3_trialNr_14_french_recording","p","schwa","original"
"273","679.31","1301.85","German","faf","500213_blockNr_1_taskNr_4_trialNr_13_German_recording","f","schwa","original"
"274","712.97","1397.79","english","fuff","500213_blockNr_1_taskNr_6_trialNr_7_english_recording","f","schwa","original"
"275","363.16","2553.96","German","pif","500216_blockNr_1_taskNr_4_trialNr_22_German_recording","p","i","original"
"276","552.83","1453.20","German","fuf","500216_blockNr_1_taskNr_4_trialNr_6_German_recording","f","u","original"
"277","405.05","2517.91","spanish","fif","500216_blockNr_1_taskNr_6_trialNr_16_spanish_recording","f","i","original"
"278","446.76","1067.22","english","poof","500216_blockNr_1_taskNr_7_trialNr_4_english_recording","p","u","original"
"279","507.86","1282.59","french","fof","500221_blockNr_1_taskNr_3_trialNr_4_french_recording","f","o","original"
"280","698.21","1306.95","German","faf","500221_blockNr_1_taskNr_4_trialNr_14_German_recording","f","schwa","original"
"281","756.72","1614.06","spanish","faf","500221_blockNr_1_taskNr_7_trialNr_13_spanish_recording","f","a","original"
"282","337.89","2499.32","spanish","pif","500221_blockNr_1_taskNr_7_trialNr_6_spanish_recording","p","i","original"
"283","422.47","2097.69","french","puf","500223_blockNr_1_taskNr_3_trialNr_2_french_recording","p","u","original"
"284","399.23","773.50","German","fof","500223_blockNr_1_taskNr_4_trialNr_23_German_recording","f","o","original"
"285","761.41","1265.78","english","fuff","500223_blockNr_1_taskNr_6_trialNr_6_english_recording","f","schwa","original"
"286","369.32","2773.79","German","pif","500225_blockNr_1_taskNr_3_trialNr_1_German_recording","p","i","original"
"287","738.37","1798.15","spanish","fuf","500225_blockNr_1_taskNr_6_trialNr_14_spanish_recording","f","u","original"
"288","389.77","2829.53","english","feef","500225_blockNr_1_taskNr_7_trialNr_23_english_recording","f","i","original"
"289","416.43","1409.21","english","poof","500231_blockNr_1_taskNr_6_trialNr_10_english_recording","p","u","original"
"290","877.12","1173.65","english","fuff","500233_blockNr_1_taskNr_6_trialNr_20_english_recording","f","schwa","original"
"291","1620.01","2546.26","english","feef","500233_blockNr_1_taskNr_6_trialNr_6_english_recording","f","i","original"
"292","804.84","2276.96","english","poff","500233_blockNr_1_taskNr_6_trialNr_7_english_recording","p","o","original"
"293","280.10","2249.30","french","pif","500244_blockNr_1_taskNr_3_trialNr_18_french_recording","p","i","original"
"294","363.32","1770.25","German","fuf","500244_blockNr_1_taskNr_4_trialNr_13_German_recording","f","u","original"
"295","304.66","1604.05","German","fuf","500244_blockNr_1_taskNr_4_trialNr_18_German_recording","f","u","original"
"296","578.11","1180.58","english","puff","500244_blockNr_1_taskNr_6_trialNr_2_english_recording","p","schwa","original"
"297","277.50","2214.48","spanish","fif","500244_blockNr_1_taskNr_7_trialNr_9_spanish_recording","f","i","original"
"298","668.67","1694.83","German","fuf","500247_blockNr_1_taskNr_3_trialNr_16_German_recording","f","u","original"
"299","611.55","1180.44","spanish","fof","500247_blockNr_1_taskNr_7_trialNr_1_spanish_recording","f","o","original"
"300","878.98","1401.14","spanish","fof","500247_blockNr_1_taskNr_7_trialNr_23_spanish_recording","f","o","original"
"301","370.46","2180.56","German","pif","500260_blockNr_1_taskNr_3_trialNr_10_German_recording","p","i","original"
"302","354.47","2169.22","french","fif","500260_blockNr_1_taskNr_4_trialNr_7_french_recording","f","i","original"
"303","575.85","1308.36","German","pof","500263_blockNr_1_taskNr_3_trialNr_2_German_recording","p","o","original"
"304","818.77","1655.34","french","faf","500263_blockNr_1_taskNr_4_trialNr_13_french_recording","f","schwa","original"
"305","360.63","2615.84","french","pif","500263_blockNr_1_taskNr_4_trialNr_9_french_recording","p","i","original"
"306","997.02","1620.12","english","puff","500263_blockNr_1_taskNr_7_trialNr_12_english_recording","p","schwa","original"
"307","599.50","2507.91","German","pif","500265_blockNr_1_taskNr_3_trialNr_19_German_recording","p","i","original"
"308","308.48","2298.73","spanish","pif","500265_blockNr_1_taskNr_6_trialNr_19_spanish_recording","p","i","original"
"309","274.26","2135.82","spanish","pif","500265_blockNr_1_taskNr_6_trialNr_24_spanish_recording","p","i","original"
"310","464.40","2297.35","french","pif","500268_blockNr_1_taskNr_3_trialNr_5_french_recording","p","i","original"
