"","f1e","f2e","language","text","file_name_append","consonant","phoneme"
"781",897.56,1225.94,"english","poff","509366_blockNr_1_taskNr_6_trialNr_22_english_recording","p","o"
"782",956.42,2692.44,"english","feef","509366_blockNr_1_taskNr_6_trialNr_23_english_recording","f","i"
"783",430.67,1310.7,"english","poof","509366_blockNr_1_taskNr_6_trialNr_24_english_recording","p","u"
"784",681.73,1209.07,"english","puff","509366_blockNr_1_taskNr_6_trialNr_2_english_recording","p","schwa"
"785",267.46,2533.97,"english","feef","509366_blockNr_1_taskNr_6_trialNr_3_english_recording","f","i"
"786",558.7,1208.36,"english","poof","509366_blockNr_1_taskNr_6_trialNr_4_english_recording","p","u"
"787",739.52,1381.27,"english","fuff","509366_blockNr_1_taskNr_6_trialNr_5_english_recording","f","schwa"
"788",632.11,1133.37,"english","puff","509366_blockNr_1_taskNr_6_trialNr_6_english_recording","p","schwa"
"789",424.06,1077.83,"english","foff","509366_blockNr_1_taskNr_6_trialNr_7_english_recording","f","o"
"790",335.05,1059.4,"english","foof","509366_blockNr_1_taskNr_6_trialNr_8_english_recording","f","u"
"791",984.17,1212.84,"english","poff","509366_blockNr_1_taskNr_6_trialNr_9_english_recording","p","o"
"792",789.61,1522.07,"German","paf","509367_blockNr_1_taskNr_3_trialNr_10_German_recording","p","schwa"
"793",682.36,2589.39,"German","fif","509367_blockNr_1_taskNr_3_trialNr_11_German_recording","f","i"
"794",446.02,959.98,"German","pof","509367_blockNr_1_taskNr_3_trialNr_12_German_recording","p","o"
"795",338.78,2491.03,"German","fif","509367_blockNr_1_taskNr_3_trialNr_13_German_recording","f","i"
"796",713,1529.25,"German","faf","509367_blockNr_1_taskNr_3_trialNr_14_German_recording","f","schwa"
"797",405.78,1856.66,"German","fuf","509367_blockNr_1_taskNr_3_trialNr_15_German_recording","f","u"
"798",1069.41,2165.8,"German","pif","509367_blockNr_1_taskNr_3_trialNr_16_German_recording","p","i"
"799",388.68,1856.87,"German","puf","509367_blockNr_1_taskNr_3_trialNr_17_German_recording","p","u"
"800",424.35,1849.12,"German","puf","509367_blockNr_1_taskNr_3_trialNr_18_German_recording","p","u"
"801",412.95,1935.55,"German","puf","509367_blockNr_1_taskNr_3_trialNr_19_German_recording","p","u"
"802",415.42,2030.78,"German","fuf","509367_blockNr_1_taskNr_3_trialNr_1_German_recording","f","u"
"803",410.08,2438.13,"German","pif","509367_blockNr_1_taskNr_3_trialNr_20_German_recording","p","i"
"804",460.91,1039.03,"German","fof","509367_blockNr_1_taskNr_3_trialNr_21_German_recording","f","o"
"805",397.57,1904.75,"German","fuf","509367_blockNr_1_taskNr_3_trialNr_22_German_recording","f","u"
