stim,stim1,stim2,distance,isCorrect,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fun.started,fun.stopped,fought.started,fought.stopped,feel.started,feel.stopped,fool.started,fool.stopped,son.started,son.stopped,su.started,su.stopped,fin.started,fin.stopped,instructions_task.started,instructions_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stimulus.started,stimulus.stopped,text_2.started,text_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,text_3.started,text_3.stopped,insructions.started,insructions.stopped,sound_stim1.started,sound_stim1.stopped,sound_stim2.started,sound_stim2.stopped,text_response_same.started,text_response_same.stopped,text_response_diff.started,text_response_diff.stopped,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.started,key_resp_trial.stopped,text_trial_cross.started,text_trial_cross.stopped,key_resp_trial.rt,participant,session,date,expName,psychopyVersion,frameRate,
,stim/Step_4.wav,stim/Step_5.wav,-1,1,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.56625251249643,59.83145954200154,60.31538897149876,60.564697333997174,59.565013209001336,None,59.565013209001336,None,0,0,60.315119500002766,None,59.331568166999205,59.53177566699742,1.4271667079956387,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_3.wav,stim/Step_1.wav,2,1,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.99885467950226,62.24851083399699,62.74820580450178,62.99846154199622,61.998526208997646,None,61.998526208997646,None,1,1,62.749782749997394,None,61.76467012499779,61.9650639169995,0.8962508330005221,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_3.wav,stim/Step_7.wav,-4,1,,,,,0,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89960580449697,64.14876312499837,64.64743947149982,64.89841924999928,63.89916266700311,None,63.89916266700311,None,0,0,64.64832816700073,None,63.664595208996616,63.86582425000233,0.9487005420014611,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_7.wav,stim/Step_6.wav,1,1,,,,,0,4,4,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.84896751249762,66.09877520900045,66.59899347149913,66.84912462499778,65.84861629200168,None,65.84861629200168,None,0,0,66.59912770899973,None,65.61516037499678,65.83222112499789,0.7038093329974799,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_4.wav,stim/Step_4.wav,0,0,,,,,0,5,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.56658005449863,67.81625550000172,68.31486484650232,68.56554462500208,67.56581824999739,None,67.56581824999739,None,1,0,68.315264208999,None,67.33159475000139,67.53254637499776,0.85797162399831,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_6.wav,stim/Step_1.wav,5,1,,,,,0,6,6,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4330780964985,69.68330429199705,70.18181217949605,70.43210970899963,69.431283083999,None,69.431283083999,None,0,0,70.18251058399619,None,69.19957441699808,69.41633170899877,1.205466373998206,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_1.wav,stim/Step_5.wav,-4,1,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.64933759650303,71.89942408399656,72.39898642950284,72.64930837500287,71.64751562500169,None,71.64751562500169,None,1,1,72.39823591699678,None,71.41628366700024,71.6325912090033,0.8538536659980309,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_6.wav,stim/Step_3.wav,3,1,,,,,0,8,8,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.51540067950118,73.76524645899917,74.26566942950303,74.51579541699903,73.51467233400035,None,73.51467233400035,None,0,0,74.26554866699735,None,73.28342433399666,73.49865429200145,0.9184876660001464,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_6.wav,stim/Step_4.wav,2,1,,,,,0,9,9,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.44830126250163,75.69865395899978,76.19883888749901,76.44874991699908,75.44901974999812,None,75.44901974999812,None,0,0,76.19816966699727,None,75.21533425000234,75.41629704200022,0.8791064580000238,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_3.wav,stim/Step_4.wav,-1,1,,,,,0,10,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.33208342949656,77.582537125003,78.08224384649948,78.33102541699918,77.33149383399723,None,77.33149383399723,None,1,1,78.0826351249998,None,77.09944141699816,77.29892808399745,0.8194031250022817,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_1.wav,stim/Step_2.wav,-1,1,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.16607622149895,79.41627087500092,79.91552217949648,80.16479729199636,79.16559579200111,None,79.16559579200111,None,1,1,79.91574112499802,None,78.93220108399692,79.13135087500268,0.7153200419998029,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_6.wav,stim/Step_2.wav,4,1,,,,,0,12,12,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.8814573465017,81.13253554199764,81.63258938749932,81.88226095899881,80.88327270899754,None,80.88327270899754,None,0,0,81.63238483399618,None,80.64831920900178,80.84851320899907,0.8657039999961853,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_5.wav,stim/Step_2.wav,3,1,,,,,0,13,13,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.74904580450239,82.99856329199974,83.49963867949846,83.74968745899969,82.75004225000157,None,82.75004225000157,None,0,0,83.49880033399677,None,82.51592874999915,82.71546891699836,1.0713152079988504,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_4.wav,stim/Step_6.wav,-2,1,,,,,0,14,14,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.83222826249694,85.08217675000196,85.58234976249805,85.8322984999977,84.83280970899796,None,84.83280970899796,None,1,1,85.58294658399973,None,84.59810937500151,84.79936791700311,1.0943125410049106,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_2.wav,stim/Step_5.wav,-3,1,,,,,0,15,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.93240351249842,87.18247387500014,87.68144667949964,87.93273345899797,86.93260279199603,None,86.93260279199603,None,0,0,87.68209895899781,None,86.69895208399976,86.8985944169981,0.8861033749999478,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_3.wav,stim/Step_3.wav,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.83243042949762,89.08234937499947,89.58290780450189,89.8319074999963,88.83292012500169,None,88.83292012500169,None,1,0,89.58221516699996,None,88.59850745899894,88.7986541249993,1.201693333001458,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_3.wav,stim/Step_2.wav,1,1,,,,,0,17,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0490048465028,91.29961137499777,91.79934722149774,92.04974137499812,91.04900970900053,None,91.04900970900053,None,1,1,91.79915708400222,None,90.81520279200049,91.01599737499782,1.0410473329975503,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_1.wav,stim/Step_4.wav,-3,1,,,,,0,18,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.09920463749877,93.34911087500222,93.84885313749983,94.09932179199677,93.09979145899706,None,93.09979145899706,None,0,0,93.84928249999939,None,92.86518495900236,93.06627970899717,0.8309129159970325,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
