session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62c9ed1b2bb9d20b886fbbb1,60fc81c001de28f9bd9a925e,RETURNED,2022-07-09 21:03:27.270000,,19368.2579,31,115,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9edb0f23dccd712baefb4,628b88996f3b169d0ea1d246,AWAITING REVIEW,2022-07-09 21:05:57.427000,2022-07-09 21:12:35.344000,397.917,30,127,0,100,,NOCODE,United States,United States,Full-Time,Vietnamese,English,United States,Female,Yes
62c9edd6e1c031f677110d84,60fd7eaad772d88362fd9da4,AWAITING REVIEW,2022-07-09 21:06:32.484000,2022-07-09 21:11:53.632000,321.148,24,745,2,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Female,DATA EXPIRED
62c9edde38c6c638f41103a7,591921e38b0b6e00012897fa,AWAITING REVIEW,2022-07-09 21:06:47.810000,2022-07-09 21:13:17.207000,389.397,49,403,1,100,,NOCODE,United States,United States,Full-Time,English,English,United States,Female,No
62c9ee4dd0e9a8729a996a11,60b5b426d7e50f69a524a58b,AWAITING REVIEW,2022-07-09 21:09:21.324000,2022-07-09 21:17:37.398000,496.074,22,581,0,100,,Nocode,United States,United States,Unemployed (and job seeking),English,English,United States,Female,No
62c9eeea58bde5922ea6a970,6127df52d897b4da6d8ddda8,AWAITING REVIEW,2022-07-09 21:11:13.173000,2022-07-09 21:25:23.038000,849.865,19,334,3,99,,NOCODE,United States,United States,Part-Time,English,English,United States,Female,Yes
62c9ef1b7233591c74bc7181,6294cafd7896e9354ef5f132,AWAITING REVIEW,2022-07-09 21:12:01.607000,2022-07-09 21:17:41.332000,339.725,43,85,1,100,,NOCODE,United States,United States,Full-Time,English,English,United States,Male,No
62c9ef64661e9c3268858421,5bcce104fb569300011753dd,RETURNED,2022-07-09 21:13:15.154000,,18780.460666,48,987,10,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9efbbb2ff2b941124b63e,5dda6f4e82569a9cea908bb2,AWAITING REVIEW,2022-07-09 21:14:39.022000,2022-07-09 21:20:48.192000,369.17,24,1749,6,100,,NOCODE,United States,United States,DATA EXPIRED,Chinese,"Chinese, English",United States,Male,No
62c9f057e59309566e7a4ff4,61719b6647a50088271d4ec9,AWAITING REVIEW,2022-07-09 21:17:14.991000,2022-07-09 21:23:59.773000,404.782,18,876,4,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Female,Yes
62c9f05c3a6a6700f76e2e32,5f94a8e7fa8c422fc88940b0,AWAITING REVIEW,2022-07-09 21:17:16.884000,2022-07-09 21:23:39.852000,382.968,30,1022,3,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
62c9f0ae95390411e41abdde,62c2da4e711cf6806c5f89a2,AWAITING REVIEW,2022-07-09 21:18:44.456000,2022-07-09 21:23:43.702000,299.246,33,7,0,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Male,No
62c9f0f0d5454692a5bc71a2,61078c9e26cd1e400bdb293c,AWAITING REVIEW,2022-07-09 21:20:07.241000,2022-07-09 21:26:17.183000,369.942,21,46,0,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Female,Yes
62c9f0fd3f95b4956c8ce1c2,5a92edf41eda410001361041,RETURNED,2022-07-09 21:20:00.446000,,18375.237357,34,132,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9f111ceaeeb0e73baefbd,59c0a297c458e800017b5499,AWAITING REVIEW,2022-07-09 21:20:35.187000,2022-07-09 21:27:39.031000,423.844,52,2030,2,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Male,No
62c9f1bcb9994dbb5cf90bb5,60fcdb88e0514055c6e6a03b,AWAITING REVIEW,2022-07-09 21:26:26.103000,2022-07-09 21:37:55.535000,689.432,21,658,2,100,,NOCODE,United States,United States,Other,English,"English, Vietnamese",United States,Female,Yes
62c9f20e10d34376a4910152,614d673e3a5fd5cb2b5b6eb7,RETURNED,2022-07-09 21:24:33.039000,,18102.683751,21,637,7,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9f2906315d1fbfa5a3c85,55c784b8fdf99b479e522427,AWAITING REVIEW,2022-07-09 21:26:43.986000,2022-07-09 21:32:26.229000,342.243,41,485,0,100,,NOCODE,United States,United States,Full-Time,English,English,United States,Male,No
62c9f2bdb90fde81c2d139d6,5ee517175fd9cf23b3b7b7ec,RETURNED,2022-07-09 21:38:00.045000,,17295.700401,26,2828,16,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9f366e2c607d993d8f5c9,5a2dc611390d120001c70ac2,AWAITING REVIEW,2022-07-09 21:30:14.052000,2022-07-09 21:37:53.928000,459.876,29,624,1,100,,NOCODE,United States,United States,Unemployed (and job seeking),English,English,United States,Male,No
62c9f3729bb1a715fc90eb4b,62867b51e71606f873d41b05,AWAITING REVIEW,2022-07-09 21:30:30.092000,2022-07-09 21:39:13.334000,523.242,35,275,2,99,,NOCODE,United States,United States,Full-Time,English,English,United States,Male,No
62c9f3aab90fde81c2d139e2,6100c59cd19d8852e9aa7b70,AWAITING REVIEW,2022-07-09 21:31:24.638000,2022-07-09 21:39:51.274000,506.636,20,83,0,100,,NOCODE,United States,United States,DATA EXPIRED,Spanish,"English, Spanish",United States,Male,DATA EXPIRED
62c9f3adfb9104d3266d445f,629620f5aeec88ae70bbacc2,RETURNED,2022-07-09 21:31:34.543000,,17681.250925,48,149,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9f3c1d486e615465a3c7a,5ebdbfe983b374101d24ccaf,AWAITING REVIEW,2022-07-09 21:31:49.005000,2022-07-09 21:37:27.434000,338.429,25,47,0,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Male,Yes
62c9f3d6c0cf91bc5534e658,5adeb4e9f6b58c0001fa70aa,AWAITING REVIEW,2022-07-09 21:38:04.074000,2022-07-09 21:43:48.507000,344.433,23,1479,9,98,,NOCODE,United States,United States,Unemployed (and job seeking),English,English,United States,Male,No
62c9f3da7b47a9f9e32b8a62,5c465d35b29ea800015b0f46,AWAITING REVIEW,2022-07-09 21:32:17.891000,2022-07-09 21:41:22.803000,544.912,27,608,2,99,,NOCODE,United States,United States,Full-Time,English,English,United States,Female,No
62c9f3f0ca089d6b4669d9de,5c5676fd9fcbc40001dc603b,AWAITING REVIEW,2022-07-09 21:32:37.155000,2022-07-09 21:40:30.724000,473.569,46,859,0,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Male,No
62c9f3f5d8b1348fcf910139,5e4efd2f00f6070a930f3499,AWAITING REVIEW,2022-07-09 21:32:41.226000,2022-07-09 21:38:56.491000,375.265,20,994,4,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Male,Yes
62c9f416ee093adfe48583ff,629ea1a0af4cdcc9fe8a9a4d,AWAITING REVIEW,2022-07-09 21:33:18.951000,2022-07-09 21:58:18.095000,1499.144,33,40,0,100,,NOCODE,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Male,No
62c9f429afada88eadfde235,628682de4bd770520715a2f9,AWAITING REVIEW,2022-07-09 21:33:34.727000,2022-07-09 21:41:26.581000,471.854,25,192,0,100,,NOCODE,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Male,No
62c9f48b92a1027c25baefb9,615a52dc1023ec320abdd0b6,AWAITING REVIEW,2022-07-09 21:35:12.238000,2022-07-09 21:43:03.925000,471.687,36,890,3,100,,NONE,United States,United States,Part-Time,English,English,United States,Female,No
62c9f4d8b0f68820af6995fc,5e7146ee69a3f1061774803b,RETURNED,2022-07-09 21:36:45.362000,,17370.53506,51,1496,9,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9f51b341bd4a143bc717e,62975d5f17cad016a885c94a,AWAITING REVIEW,2022-07-09 21:39:30.777000,2022-07-09 21:45:46.430000,375.653,28,42,0,100,,NOCODE,United States,United States,Unemployed (and job seeking),English,English,United States,Male,No
62c9f52c532bdb56ad2b8a6e,57a2caf8275be6000135b3aa,AWAITING REVIEW,2022-07-09 21:37:52.104000,2022-07-09 21:43:15.818000,323.714,30,1734,0,100,,NOCODE,United States,United States,Full-Time,English,English,United States,Female,No
62c9f5313e6014d42a5a3c89,61fa94735719bc09cb834f49,AWAITING REVIEW,2022-07-09 21:37:58.515000,2022-07-09 21:43:47.827000,349.312,38,548,3,99,,NOCODE,United States,United States,Full-Time,English,English,United States,Female,No
62c9f5319ee98472d41103ae,62a76dfc808c176cecd72dfa,RETURNED,2022-07-09 21:38:16.173000,,17279.770939,43,97,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9f547a0eaccb2cb90eb50,6100bb2660955ead768c8fcf,AWAITING REVIEW,2022-07-09 21:38:19.103000,2022-07-09 21:44:11.936000,352.833,40,787,3,100,,NOCODE,United States,United States,Full-Time,English,English,United States,Female,No
62c9f5772ef292da59e301bc,5aaf4b0ce1546900019b01de,RETURNED,2022-07-09 21:39:05.890000,,17230.076005,41,835,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9f5876a928ec3172c7862,6116c9b6db8511d0a58bdec9,AWAITING REVIEW,2022-07-09 21:39:22.150000,2022-07-09 21:44:42.688000,320.538,39,894,0,100,,NOCODE,United States,United States,Full-Time,English,English,United States,Male,No
62c9f5c70f2fba5dbc110d80,614ee4370d85f20de1b9548f,RETURNED,2022-07-09 21:40:28.302000,,17147.687649,29,1286,14,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9f5cdc0cf91bc5534e67d,5c85ad4d4755b0000104319a,AWAITING REVIEW,2022-07-09 21:48:34.052000,2022-07-09 22:00:14.557000,700.505,41,1408,8,98,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Male,Yes
62c9f5e3c735f8de5e6e2e57,5c4177c564c45700016a0f3e,AWAITING REVIEW,2022-07-09 21:40:57.753000,2022-07-09 21:50:20.916000,563.163,60,1944,2,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Female,DATA EXPIRED
62c9f5f205cab6f0d8e301c2,60b7b098c35b5eb4f326e077,AWAITING REVIEW,2022-07-09 21:41:15.372000,2022-07-09 21:49:32.479000,497.107,44,719,0,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Female,No
62c9f60025ee3e5d5f34e68b,5fc58aa7a1da3f1033ac311b,AWAITING REVIEW,2022-07-09 21:41:23.375000,2022-07-09 21:50:16.898000,533.523,42,637,10,96,,NOCODE,United States,United States,Part-Time,English,English,United States,Female,No
62c9f60a6f71d1acbfa73083,5f95a44920f542417f4263cb,AWAITING REVIEW,2022-07-09 21:41:34.966000,2022-07-09 21:46:22.802000,287.836,24,571,0,100,,NOCODE,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Male,No
62c9f6266132fc5d076d4448,6007776684975127676717c4,AWAITING REVIEW,2022-07-09 21:42:01.063000,2022-07-09 21:49:47.569000,466.506,29,1776,9,99,,NOCODE,United States,United States,Part-Time,Spanish,"English, Spanish",United States,Male,No
62c9f642af0f34a6e9d8f5c6,62a0f65404d6ac8611d67c12,AWAITING REVIEW,2022-07-09 21:42:29.567000,2022-07-09 21:48:37.556000,367.989,45,116,0,100,,NOCODE,United States,United States,Part-Time,English,English,United States,Male,No
62c9f64ce5063cdb966995d6,5ae0afd709eae20001131fb9,AWAITING REVIEW,2022-07-09 21:43:47.954000,2022-07-09 21:53:10.127000,562.173,31,215,0,100,,NOCODE,United States,United States,Full-Time,English,English,United States,Female,No
62c9f6802ef292da59e301cb,56ec151f388e1d000a5924d0,RETURNED,2022-07-09 21:43:35.119000,,16960.978036,36,690,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9f69baf5a96b06bbc71a8,59601fb03d5051000114b843,AWAITING REVIEW,2022-07-09 21:43:58.275000,2022-07-09 21:49:42.303000,344.028,24,10,0,100,,NOCODE,United States,United States,Full-Time,English,English,United States,Male,No
62c9f6abd2c795d3b024b63f,5a02083e087f2e0001eadbdb,AWAITING REVIEW,2022-07-09 21:44:13.570000,2022-07-09 21:49:50.796000,337.226,49,1807,2,100,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Female,No
62c9f6e38ddc1cbc89110390,5e916cb9e502b1498e8fc059,RETURNED,2022-07-09 21:45:10.373000,,16865.7609,58,1789,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9f73b59c0957f5cf02157,6148dc3549155e9222aee13b,AWAITING REVIEW,2022-07-09 21:46:47.838000,2022-07-09 21:53:47.698000,419.86,21,777,12,97,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
62c9f8ec2e497cec63c913c2,5c6f459b398a230001bb0031,AWAITING REVIEW,2022-07-09 21:53:51.570000,2022-07-09 22:02:45.515000,533.945,33,2341,16,97,,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Male,No
62c9f9b8a8ae8d42426995de,5c60a763dff4b30001aa98ee,AWAITING REVIEW,2022-07-09 21:57:19.704000,2022-07-09 22:06:25.788000,546.084,48,1403,8,99,,NOCODE,Japan,United States,Unemployed (and job seeking),Japanese,"English, Japanese",United States,Female,No
