"","X","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception","L1_group"
"50",30,"5e9fdd5effe6a51855448d1b","9","19",3,6,"Spanish"
"51",31,"5f740f60b8a1e41acc020269","14","20+",3,5,"Spanish"
"52",32,"5f15db42d62e996fdc5429d8","14","20+",2,4,"Spanish"
"53",33,"60a4cadc8c4109eeeb9fda14","12","15",5,6,"Spanish"
"54",34,"5f15db42d62e996fdc5429d8","14","20+",2,4,"Spanish"
"55",35,"613a4182d75ec66fcd3292e9","6","20+",3,5,"Spanish"
"56",36,"5f38c9aa0c68ee3f7c72f7b4","7","16",5,5,"Spanish"
"57",37,"5f2f8d1f71440737f85aeed8","3","0",6,6,"Spanish"
"58",38,"613e5f8850eae60e0e24d723","6","10",6,6,"Spanish"
"59",39,"613fde254759385b5d464ee5","3","13",5,6,"Spanish"
"60",40,"613e9b08d2ffa0e074c21eb4","10","18",5,5,"Spanish"
"61",41,"613ad069b7f1de6a11fbf6b5","0","10",5,5,"Spanish"
"62",42,"5d9a74f72aae4c031a29af9b","6","10",5,5,"Spanish"
"63",44,"5f38c9aa0c68ee3f7c72f7b4","6","15",4,5,"Spanish"
"64",45,"6143b2fcec68812bfc17fca6","4","6",6,6,"Spanish"
"65",46,"60c0fe89173c2b1f4fe2c578","5","10",1,5,"Spanish"
"66",47,"613e18e92e4ed15176362aa2","5","16",5,4,"Spanish"
"67",48,"5eb0cb5afb9e2418da928edb","12","13",5,6,"Spanish"
"68",49,"5f6c343552bdce1aedca6ae1","9","17",5,5,"Spanish"
"69",50,"5f4c1b5626199983e1285d83","7","14",4,3,"Spanish"
"70",51,"6091c8c45595f158e17f0a0e","7","11",4,5,"Spanish"
"71",52,"613a3f32a52f4d656d45bff7","8","12",6,5,"Spanish"
"72",53,"613923bfba966877e7764cd8","12","18",4,4,"Spanish"
"73",54,"613908791cbd2f097b2f7707","9","9",4,5,"Spanish"
"74",56,"5eccb086d314a0887ac5c3b5","3","8",4,5,"Spanish"
"75",57,"6148baf1d5974f3958c332d2","4","10",5,5,"Spanish"
"76",58,"614a2f8df39b9ec154e1f640","6","10",5,5,"Spanish"
"77",59,"6115d9fa61078b29b8db91ff","6","15",4,5,"Spanish"
"78",60,"5ffcda06813bad1d87f925d0","4","6",6,6,"Spanish"
"79",61,"614a1e625dc267ba7fb33e91","4","6",4,4,"Spanish"
"80",62,"614f2c8f26989c9393e41457","3","12",6,6,"Spanish"
"81",63,"5ee6ad67f110e14399a888ee","2","5",6,6,"Spanish"
"82",64,"614a65127dcd9777f0707cf4","6","0",4,5,"Spanish"
"83",65,"613abcc8a654d0ca925f9434","2","4",4,6,"Spanish"
"84",67,"613f8d6600a918d57f57908b","5","8",6,6,"Spanish"
"85",68,"5d4ba0be2fe36d00163e73db","11","14",5,5,"Spanish"
"86",71,"6092dee68abf98f0b677315d","11","14",5,6,"Spanish"
"87",72,"60612657188e55012dfbe71f","11","20+",4,5,"Spanish"
"88",73,"5e18cc8f30626119a3998c31","0","0",5,6,"Spanish"
"89",74,"613a82769f5da68de915153c","5","11",4,4,"Spanish"
"90",75,"60fef403b3b6d8b4cbfa281a","5","17",6,6,"Spanish"
"91",76,"613b7bdaa7318ef4e18e41f4","5","14",6,6,"Spanish"
"92",77,"613a99cc4a787a8d30ddd7e8","7","14",4,5,"Spanish"
"93",78,"615b4d67bd21e66571f5581b","3","10",6,6,"Spanish"
