"","X","f1e","f2e","language","participant","text","group","consonant","phoneme","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception"
"151",151,572.31,1651.28,"french",509322,"paf","L1 English monolingual","p","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"152",152,582.46,1541.38,"french",509322,"faf","L1 English monolingual","f","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"153",153,579.14,1635.96,"french",509322,"faf","L1 English monolingual","f","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"154",154,413.88,1743.67,"french",509322,"fuf","L1 English monolingual","f","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"155",155,571.46,1406.24,"french",509322,"fof","L1 English monolingual","f","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"156",156,597.99,1644.82,"french",509322,"faf","L1 English monolingual","f","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"157",157,398.62,2492.34,"french",509322,"fif","L1 English monolingual","f","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"158",158,432.26,1887.93,"french",509322,"puf","L1 English monolingual","p","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"159",159,570.91,1412.27,"french",509322,"fof","L1 English monolingual","f","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"160",160,273.48,1766.76,"french",509322,"pif","L1 English monolingual","p","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"161",161,395.21,2361.15,"french",509322,"fif","L1 English monolingual","f","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"162",162,458.88,1564.99,"french",509322,"paf","L1 English monolingual","p","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"163",163,510.3,1327.72,"french",509322,"pof","L1 English monolingual","p","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"164",164,408.03,1831.5,"french",509322,"puf","L1 English monolingual","p","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"165",165,417.78,1966.14,"french",509322,"fuf","L1 English monolingual","f","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"166",166,318.91,1882.18,"french",509322,"pif","L1 English monolingual","p","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"167",167,284.78,2421.68,"french",509322,"fif","L1 English monolingual","f","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"168",168,341.99,2573.66,"German",509322,"pif","L1 English monolingual","p","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"169",169,339.29,2643.61,"German",509322,"fif","L1 English monolingual","f","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
