"","X","participant","stim","word","language","stim_language","rating","phoneme","frame","language_num"
"123",123,"5bcc60b95c2b810001dc68e2","stim/pof_f.wav","fun","eng","french",3.017777778,"o","bilabial",1
"124",124,"5bcc60b95c2b810001dc68e2","stim/fof_f.wav","fun","eng","french",3.017777778,"o","fricative",1
"125",125,"5bcc60b95c2b810001dc68e2","stim/p_schwa_f.wav","fool","eng","french",3.017777778,"schwa","bilabial",1
"126",126,"5bcc60b95c2b810001dc68e2","stim/peuf_f.wav","fool","eng","french",3.017777778,"y","bilabial",1
"127",127,"5bcc60b95c2b810001dc68e2","stim/f_schwa_f.wav","fought","eng","french",3.017777778,"schwa","fricative",1
"128",128,"5bcc60b95c2b810001dc68e2","stim/fif_f.wav","feel","eng","french",3.017777778,"i","fricative",1
"129",129,"5bcc60b95c2b810001dc68e2","stim/pof_f.wav","fought","eng","french",2.631111111,"o","bilabial",1
"130",130,"5bcc60b95c2b810001dc68e2","stim/fif_f.wav","feel","eng","french",2.991111111,"i","fricative",1
"131",131,"5bcc60b95c2b810001dc68e2","stim/f_schwa_f.wav","feel","eng","french",3.035555556,"schwa","fricative",1
"132",132,"5bcc60b95c2b810001dc68e2","stim/p_schwa_f.wav","fun","eng","french",3.035555556,"schwa","bilabial",1
"133",133,"5bcc60b95c2b810001dc68e2","stim/fof_f.wav","fought","eng","french",3.035555556,"o","fricative",1
"134",134,"5bcc60b95c2b810001dc68e2","stim/peuf_f.wav","fool","eng","french",3.035555556,"y","bilabial",1
"135",135,"5bcc60b95c2b810001dc68e2","stim/feuf_f.wav","fool","eng","french",3.035555556,"y","fricative",1
"136",136,"5bcc60b95c2b810001dc68e2","stim/pif_f.wav","feel","eng","french",3.035555556,"i","bilabial",1
"137",137,"5bcc60b95c2b810001dc68e2","stim/pof_f.wav","fun","eng","french",3.168888889,"o","bilabial",1
"138",138,"5bcc60b95c2b810001dc68e2","stim/peuf_f.wav","fool","eng","french",3.168888889,"y","bilabial",1
"139",139,"5bcc60b95c2b810001dc68e2","stim/fof_f.wav","fun","eng","french",3.168888889,"o","fricative",1
"140",140,"5bcc60b95c2b810001dc68e2","stim/p_schwa_f.wav","fought","eng","french",3.168888889,"schwa","bilabial",1
"141",141,"5bcc60b95c2b810001dc68e2","stim/feuf_f.wav","fool","eng","french",3.168888889,"y","fricative",1
"142",142,"5bcc60b95c2b810001dc68e2","stim/pif_f.wav","feel","eng","french",3.168888889,"i","bilabial",1
"143",143,"5bcc60b95c2b810001dc68e2","stim/f_schwa_f.wav","fun","eng","french",3.168888889,"schwa","fricative",1
"144",144,"5bcc60b95c2b810001dc68e2","stim/fif_f.wav","feel","eng","french",3.168888889,"i","fricative",1
"145",145,"5bcc60b95c2b810001dc68e2","stim/peuf_f.wav","fool","eng","french",3.168888889,"y","bilabial",1
"146",146,"5bcc60b95c2b810001dc68e2","stim/fif_f.wav","feel","eng","french",3.168888889,"i","fricative",1
"147",147,"5bcc60b95c2b810001dc68e2","stim/feuf_f.wav","fool","eng","french",3,"y","fricative",1
"148",148,"5bcc60b95c2b810001dc68e2","stim/fof_f.wav","fought","eng","french",3,"o","fricative",1
"149",149,"5bcc60b95c2b810001dc68e2","stim/p_schwa_f.wav","fought","eng","french",3,"schwa","bilabial",1
"150",150,"5bcc60b95c2b810001dc68e2","stim/pif_f.wav","feel","eng","french",3,"i","bilabial",1
"151",151,"5bcc60b95c2b810001dc68e2","stim/f_schwa_f.wav","fool","eng","french",3,"schwa","fricative",1
"152",152,"5bcc60b95c2b810001dc68e2","stim/pof_f.wav","fought","eng","french",3,"o","bilabial",1
"153",153,"5bcc60b95c2b810001dc68e2","stim/feuf_f.wav","feel","eng","french",3,"y","fricative",1
"154",154,"5bcc60b95c2b810001dc68e2","stim/peuf_f.wav","feel","eng","french",3,"y","bilabial",1
"155",155,"5bcc60b95c2b810001dc68e2","stim/fif_f.wav","feel","eng","french",3,"i","fricative",1
