key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.corr,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim1,stim2,distance,isCorrect,key_resp_trial.rt
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,18,18,29,1,stim/Step_5.wav,stim/Step_2.wav,3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,19,19,21,1,stim/Step_4.wav,stim/Step_1.wav,3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,20,20,15,1,stim/Step_3.wav,stim/Step_2.wav,1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,21,21,45,1,stim/Step_7.wav,stim/Step_4.wav,3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,22,22,20,1,stim/Step_3.wav,stim/Step_7.wav,-4,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,23,23,24,1,stim/Step_4.wav,stim/Step_4.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,24,24,4,1,stim/Step_1.wav,stim/Step_5.wav,-4,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,25,25,32,1,stim/Step_5.wav,stim/Step_5.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,26,26,17,1,stim/Step_3.wav,stim/Step_4.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,27,27,42,1,stim/Step_7.wav,stim/Step_1.wav,6,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,28,28,35,1,stim/Step_6.wav,stim/Step_1.wav,5,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,29,29,27,1,stim/Step_4.wav,stim/Step_7.wav,-3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,30,30,14,1,stim/Step_3.wav,stim/Step_1.wav,2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,31,31,25,1,stim/Step_4.wav,stim/Step_5.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,32,32,1,1,stim/Step_1.wav,stim/Step_2.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,33,33,5,1,stim/Step_1.wav,stim/Step_6.wav,-5,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,34,34,44,1,stim/Step_7.wav,stim/Step_3.wav,4,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,35,35,47,1,stim/Step_7.wav,stim/Step_6.wav,1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,36,36,6,1,stim/Step_1.wav,stim/Step_7.wav,-6,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,37,37,16,1,stim/Step_3.wav,stim/Step_3.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,38,38,23,1,stim/Step_4.wav,stim/Step_3.wav,1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,39,39,28,1,stim/Step_5.wav,stim/Step_1.wav,4,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,40,40,36,1,stim/Step_6.wav,stim/Step_2.wav,4,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,41,41,8,1,stim/Step_2.wav,stim/Step_2.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,42,42,2,1,stim/Step_1.wav,stim/Step_3.wav,-2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,43,43,31,1,stim/Step_5.wav,stim/Step_4.wav,1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,44,44,12,1,stim/Step_2.wav,stim/Step_6.wav,-4,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,45,45,19,1,stim/Step_3.wav,stim/Step_6.wav,-3,1,
