Timestamp,Nombre,Apellidos,Edad,Género,Lugar de residencia actual: ciudad,País,Nivel más alto de formación académica completada,¿A qué edad empezó a aprender ESPAÑOL?,¿A qué edad empezó a aprender INGLÉS?,¿A qué edad empezó a sentirse cómodo usando ESPAÑOL?    ,¿A qué edad empezó a sentirse cómodo usando INGLÉS?    ,"¿Cuántos años de clases (gramática, historia, matemáticas, etc.) ha tenido en ESPAÑOL?","¿Cuántos años de clases (gramática, historia, matemáticas, etc.) ha tenido en INGLÉS?",¿Cuántos años ha pasado en un país/región donde se habla ESPAÑOL? ,¿Cuántos años ha pasado en un país/región donde se habla INGLÉS? ,¿Cuántos años ha pasado en familia hablando ESPAÑOL?     ,¿Cuántos años ha pasado en familia hablando INGLÉS?   ,¿Cuántos años ha pasado en un ambiente de trabajo donde se habla ESPAÑOL?     ,¿Cuántos años ha pasado en un ambiente de trabajo donde se habla INGLÉS?         ,"En una semana normal, ¿qué porcentaje del tiempo usa ESPAÑOL con sus amigos?","En una semana normal, ¿qué porcentaje del tiempo usa INGLÉS con sus amigos?","En una semana normal, ¿qué porcentaje del tiempo usa OTRAS LENGUAS con sus amigos?","En una semana normal, ¿qué porcentaje del tiempo usa ESPAÑOL con su familia?","En una semana normal, ¿qué porcentaje del tiempo usa INGLÉS con su familia?","En una semana normal, ¿qué porcentaje del tiempo usa OTRAS LENGUAS con su familia?","En una semana normal, ¿qué porcentaje del tiempo usa ESPAÑOL en la escuela/el trabajo? ","En una semana normal, ¿qué porcentaje del tiempo usa INGLÉS en la escuela/el trabajo? ","En una semana normal, ¿qué porcentaje del tiempo usa OTRAS LENGUAS en la escuela/el trabajo? ","Cuando se habla a usted mismo, ¿con qué frecuencia se habla a sí mismo en ESPAÑOL?","Cuando se habla a usted mismo, ¿con qué frecuencia se habla a sí mismo en INGLÉS?","Cuando se habla a usted mismo, ¿con qué frecuencia se habla a sí mismo en OTRAS LENGUAS?","Cuando hace cálculos contando, ¿con qué frecuencia cuenta en ESPAÑOL? ","Cuando hace cálculos contando, ¿con qué frecuencia cuenta en INGLÉS?","Cuando hace cálculos contando, ¿con qué frecuencia cuenta en OTRAS LENGUAS?",¿Cómo habla  en ESPAÑOL? ,¿Cómo habla  en INGLÉS? ,¿Cómo entiende  en ESPAÑOL?       ,¿Cómo entiende en INGLÉS?       ,¿Cómo lee en ESPAÑOL? ,¿Cómo lee en INGLÉS? ,¿Cómo escribe en  ESPAÑOL?,¿Cómo escribe en  INGLÉS?,Me siento “yo mismo” cuando hablo en ESPAÑOL.   ,Me siento “yo mismo” cuando hablo en INGLÉS.,Me identifico con una cultura HISPANOHABLANTE,Me identifico con una cultura ANGLOHABLANTE,Es importante para mi usar (o llegar a usar) ESPAÑOL como un hablante nativo.,Es importante para mi usar (o llegar a usar) INGLÉS como un hablante nativo.,Quiero que los demás piensen que soy un hablante nativo de ESPAÑOL,Quiero que los demás piensen que soy un hablante nativo de INGLÉS.,"¿Aparte del inglés y el español, hablas una tercera lengua?",Prolific ID
3/17/2022 14:32:19,,,19,M,Monterrey,México,Un poco de universidad,Desde el nacimiento,12,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,4,6,6,6,5,,,,,,,,,no,
3/17/2022 14:32:41,,,23,M,Pachuca,México,Un poco de universidad,Desde el nacimiento,14,Tan pronto como recuerdo.,20+,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,4,6,3,6,2,,,,,,,,,no,
3/17/2022 14:32:53,,,26,F,Guadalajara,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,1,Tan pronto como recuerdo.,Aún no me siento cómodo.,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,6,6,6,6,5,,,,,,,,,sí,
3/17/2022 14:33:04,,,21,M,Nuevo Leon,Mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,9,Tan pronto como recuerdo.,19,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,5,5,4,,,,,,,,,no,
3/17/2022 14:33:16,,,22 años ,F,Puebla ,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,3,Tan pronto como recuerdo.,12,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,sí,
3/17/2022 14:33:43,,,22,F,Ciudad de México ,México ,Un poco de universidad,Desde el nacimiento,6,Tan pronto como recuerdo.,Aún no me siento cómodo.,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,5,6,4,,,,,,,,,no,
3/17/2022 14:33:48,,,24,M,Tijuana,Mexico,Un poco de universidad,Desde el nacimiento,11,Tan pronto como recuerdo.,Aún no me siento cómodo.,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,4,6,4,5,3,,,,,,,,,no,
3/17/2022 14:34:00,,,28,M,Victoria,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,8,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,6,6,6,6,5,,,,,,,,,no,
3/17/2022 14:34:08,,,23,F,"Monterrey, Nuevo León, México",México,Un poco de universidad,Desde el nacimiento,3,Tan pronto como recuerdo.,Aún no me siento cómodo.,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,4,6,5,6,5,,,,,,,,,no,
3/17/2022 14:34:40,,,27,M,México,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,16,Tan pronto como recuerdo.,20+,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,4,6,4,5,3,,,,,,,,,no,
3/17/2022 14:34:46,,,24,F,Ciudad de México,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,7,Tan pronto como recuerdo.,13,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,5,5,4,,,,,,,,,no,
3/17/2022 14:34:48,,,40,M,Puebla,México,Máster,Desde el nacimiento,4,Tan pronto como recuerdo.,18,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,5,6,4,,,,,,,,,no,
3/17/2022 14:34:54,,,27,M,Hermosillo,Mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,5,Tan pronto como recuerdo.,16,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,5,,,,,,,,,sí,
3/17/2022 14:35:05,,,24,F,Guadalajara,Mexico,Un poco de universidad,Desde el nacimiento,8,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,5,6,5,,,,,,,,,sí,
3/17/2022 14:35:05,,,20,F,Ciudad de México,México,Un poco de universidad,Desde el nacimiento,9,Tan pronto como recuerdo.,14,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,6,6,4,,,,,,,,,no,
3/17/2022 14:35:10,,,23,F,Hermosillo,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,Tan pronto como recuerdo.,20+,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,4,6,5,6,4,,,,,,,,,no,
3/17/2022 14:35:10,,,22,M,Veracruz,Mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,no,
3/17/2022 14:35:12,,,22,F,Puebla,México,Un poco de universidad,Desde el nacimiento,6,Tan pronto como recuerdo.,19,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,5,,,,,,,,,no,
3/17/2022 14:35:16,,,31,M,Monterrey,Mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,Tan pronto como recuerdo.,16,,,,,,,,,,,,,,,,,,,,,,,,5,3,6,5,6,4,4,3,,,,,,,,,no,
3/17/2022 14:35:18,,,35,M,Puebla,Mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,4,Tan pronto como recuerdo.,16,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,5,,,,,,,,,no,
3/17/2022 14:35:24,,,25,M,Ciudad de México,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,Tan pronto como recuerdo.,16,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,4,5,4,,,,,,,,,sí,
3/17/2022 14:35:45,,,21,M,Ciudad de México,México,Un poco de universidad,Desde el nacimiento,8,Tan pronto como recuerdo.,12,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,no,
3/17/2022 14:35:55,,,21,F,Celaya,Mexico,Un poco de universidad,Desde el nacimiento,4,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,sí,
3/17/2022 14:35:57,,,30,M,Monterrey,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,Tan pronto como recuerdo.,8,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,5,6,4,,,,,,,,,no,
3/17/2022 14:36:04,,,26,M,Ciudad de México,México,Un poco de escuela graduada,Desde el nacimiento,10,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,6,6,6,6,5,,,,,,,,,no,
3/17/2022 14:36:08,,,19,M,Ciudad de México,México,Un poco de universidad,Desde el nacimiento,7,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,5,6,6,5,3,,,,,,,,,no,
3/17/2022 14:36:31,,,22,M,Zapopan,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,10,5,18,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,5,6,5,6,5,,,,,,,,,sí,
3/17/2022 14:36:50,,,24,F,chihuahua,mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,5,Tan pronto como recuerdo.,12,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,5,,,,,,,,,no,
3/17/2022 14:36:52,,,50,M,Ciudad de Mexico,Mexico,Un poco de universidad,2,20+,5,20+,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,4,6,4,6,4,,,,,,,,,no,
3/17/2022 14:36:56,,,28,F,CdMx,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,13,7,20+,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,5,6,4,,,,,,,,,no,
3/17/2022 14:36:59,,,30,F,Ciudad de México ,México ,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,Tan pronto como recuerdo.,20+,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,5,,,,,,,,,no,
3/17/2022 14:37:04,,,25,M,Guadalajara,Mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,8,Tan pronto como recuerdo.,18,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,5,6,4,,,,,,,,,no,
3/17/2022 14:37:06,,,21,M,Merida,México,Universidad (diplomatura/licenciatura),3,5,3,8,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,6,6,5,6,4,,,,,,,,,no,
3/17/2022 14:37:09,,,24,F,los mochis,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,7,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,5,3,3,3,,,,,,,,,sí,
3/17/2022 14:37:10,,,22,F,Puebla,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,12,1,16,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,6,6,4,,,,,,,,,no,
3/17/2022 14:37:13,,,38,M,Mexico,Mexico,Máster,Desde el nacimiento,7,Tan pronto como recuerdo.,16,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,6,6,3,,,,,,,,,no,
3/17/2022 14:37:22,,,26,M,"Torreón, Coahuila.",México,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,Tan pronto como recuerdo.,Tan pronto como recuerdo.,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,sí,
3/17/2022 14:37:24,,,29,M,puebla,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,6,6,6,5,4,,,,,,,,,no,
3/17/2022 14:37:27,,,29,M,Puebla ,México ,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,Tan pronto como recuerdo.,17,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,5,,,,,,,,,no,
3/17/2022 14:37:36,,,36,M,Guadalajara,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,7,Tan pronto como recuerdo.,14,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,4,6,5,6,4,,,,,,,,,no,
3/17/2022 14:37:41,,,24,F,Ciudad de México,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,4,Tan pronto como recuerdo.,10,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,sí,
3/17/2022 14:38:13,,,23,F,MEXICO,MEXICO,Un poco de universidad,Desde el nacimiento,5,Tan pronto como recuerdo.,Aún no me siento cómodo.,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,4,6,5,6,5,,,,,,,,,sí,
3/17/2022 14:38:16,,,24,M,Pachuca,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,9,4,14,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,4,6,5,6,3,,,,,,,,,no,
3/17/2022 14:38:16,,,20,F,San Luis Potosí,México,Un poco de universidad,Desde el nacimiento,6,Tan pronto como recuerdo.,14,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,4,6,4,,,,,,,,,no,
3/17/2022 14:38:23,,,27,F,Ciudad de México ,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,3,6,13,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,6,6,6,5,4,,,,,,,,,no,
3/17/2022 14:38:30,,,22,M,Ciudad de Mexico,Mexico,Un poco de universidad,Desde el nacimiento,7,Tan pronto como recuerdo.,13,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,5,6,4,,,,,,,,,no,
3/17/2022 14:38:49,,,31,F,Ciudad de México,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,9,Tan pronto como recuerdo.,20+,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,6,6,6,6,4,,,,,,,,,no,
3/17/2022 14:38:50,,,27,M,Puebla,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,no,
3/17/2022 14:39:00,,,24,F,Puebla,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,Tan pronto como recuerdo.,14,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,sí,
3/17/2022 14:39:04,,,27,F,Ciudad de México,México,Máster,Desde el nacimiento,5,Tan pronto como recuerdo.,Tan pronto como recuerdo.,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,sí,
3/17/2022 14:39:14,,,25,F,Guadalajara ,México ,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,Tan pronto como recuerdo.,Tan pronto como recuerdo.,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,5,6,6,6,6,,,,,,,,,sí,
3/17/2022 14:39:15,,,27,F,Ciudad de México,Mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,8,Tan pronto como recuerdo.,12,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,6,6,6,,,,,,,,,no,
3/17/2022 14:39:25,,,30,M,Mexicali,México,Universidad (diplomatura/licenciatura),1,11,7,20+,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,4,6,5,5,3,,,,,,,,,no,
3/17/2022 14:39:47,,,36,M,Culiacán,México,Máster,Desde el nacimiento,6,Tan pronto como recuerdo.,Aún no me siento cómodo.,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,5,6,4,,,,,,,,,no,
3/17/2022 14:39:53,,,21,M,Ciudad de Mexico,Mexico,Un poco de universidad,Desde el nacimiento,10,Tan pronto como recuerdo.,16,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,5,,,,,,,,,no,
3/17/2022 14:40:04,,,21,F,Puebla,México,Un poco de universidad,Desde el nacimiento,6,Tan pronto como recuerdo.,12,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,4,6,5,6,5,,,,,,,,,no,
3/17/2022 14:40:25,,,26,M,puebla,mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,12,10,17,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,6,,,,,,,,,no,
3/17/2022 14:40:31,,,21,F,Estado de Mexico,Mexico,Un poco de universidad,Desde el nacimiento,5,Tan pronto como recuerdo.,8,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,5,5,5,5,,,,,,,,,no,
3/17/2022 14:40:36,,,24,F,San Luis Potosí,México,Un poco de universidad,Desde el nacimiento,9,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,4,6,5,6,4,,,,,,,,,no,
3/17/2022 14:40:39,,,25,F,Los Mochis,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,10,Tan pronto como recuerdo.,18,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,6,6,5,6,5,,,,,,,,,no,
3/17/2022 14:40:46,,,22,M,Xalapa,México,Un poco de universidad,Desde el nacimiento,7,5,12,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,5,6,4,,,,,,,,,no,
3/17/2022 14:40:54,,,22,F,Pachuca,México,Un poco de universidad,2,4,6,10,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,5,5,5,4,,,,,,,,,sí,
3/17/2022 14:40:57,,,24,F,Morelia,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,6,Tan pronto como recuerdo.,13,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,5,6,4,,,,,,,,,no,
3/17/2022 14:41:04,,,26,F,Estado de México,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,5,Tan pronto como recuerdo.,Tan pronto como recuerdo.,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,6,6,4,,,,,,,,,no,
3/17/2022 14:41:09,,,29,F,Ciudad de México ,México ,Universidad (diplomatura/licenciatura),Desde el nacimiento,4,Tan pronto como recuerdo.,10,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,6,6,5,,,,,,,,,sí,
3/17/2022 14:41:15,,,26,M,Mexicali,México,Un poco de universidad,Desde el nacimiento,13,Tan pronto como recuerdo.,20+,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,4,6,5,6,3,,,,,,,,,no,
3/17/2022 14:41:23,,,23,M,Estado de México,México,Un poco de universidad,Desde el nacimiento,5,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,4,6,5,6,4,,,,,,,,,no,
3/17/2022 14:41:27,,,38,M,Morelia,México,Máster,Desde el nacimiento,6,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,6,6,5,,,,,,,,,no,
3/17/2022 14:41:34,,,23,F,Nuevo Leon,Mexico,Universidad (diplomatura/licenciatura),Desde el nacimiento,7,Tan pronto como recuerdo.,Tan pronto como recuerdo.,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,4,6,5,,,,,,,,,no,
3/17/2022 14:41:40,,,21,M,Monterrey,México,Un poco de universidad,Desde el nacimiento,4,Tan pronto como recuerdo.,Aún no me siento cómodo.,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,3,6,5,,,,,,,,,no,
3/17/2022 14:41:44,,,26,F,Ciudad de México,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,4,Tan pronto como recuerdo.,Tan pronto como recuerdo.,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,sí,
3/17/2022 14:41:47,,,30,F,QUERETARO,MEXICO,Universidad (diplomatura/licenciatura),Desde el nacimiento,3,Tan pronto como recuerdo.,13,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,4,6,5,6,5,,,,,,,,,sí,
3/17/2022 14:41:55,,,42,M,Ciudad de México,Mexico,Un poco de escuela graduada,Desde el nacimiento,7,Tan pronto como recuerdo.,18,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,6,6,4,,,,,,,,,sí,
3/17/2022 14:42:03,,,20,M,Ezequiel Montes,México,Un poco de escuela graduada,4,4,Tan pronto como recuerdo.,16,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,5,6,5,,,,,,,,,sí,
3/17/2022 14:42:05,,,19,M,Tampico,Mexico,Un poco de universidad,Desde el nacimiento,4,5,17,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,6,6,5,6,5,,,,,,,,,no,
3/17/2022 14:42:05,,,29,M,Mérida,México,Universidad (diplomatura/licenciatura),Desde el nacimiento,13,Tan pronto como recuerdo.,Aún no me siento cómodo.,,,,,,,,,,,,,,,,,,,,,,,,6,2,6,4,6,3,6,2,,,,,,,,,no,
3/17/2022 14:42:26,,,21,M,"Monclova, Coahuila",México,Un poco de universidad,Desde el nacimiento,8,Tan pronto como recuerdo.,17,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,4,6,5,6,4,,,,,,,,,no,
3/17/2022 14:42:26,,,21,F,Orizaba,México,Un poco de universidad,Desde el nacimiento,3,Tan pronto como recuerdo.,15,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,5,6,4,6,4,,,,,,,,,no,
