"","choice","language_chosen","slider.response","stim","participant","frame","stim_language","phoneme","L1","language_choice_num","choice_num"
"208","fool","eng","4","stim/feuf_f.wav","5a5479b4ac56240001537ffa","fricative","french","y","English",1,2
"209","fun","eng","2.085185298","stim/fof_f.wav","5a5479b4ac56240001537ffa","fricative","french","o","English",1,3
"210","fool","eng","4.003703647","stim/feuf_f.wav","5a5479b4ac56240001537ffa","fricative","french","y","English",1,2
"211","fun","eng","2.018518519","stim/pof_f.wav","5a5479b4ac56240001537ffa","bilabial","french","o","English",1,3
"212","fun","eng","2.03333339","stim/f_schwa_f.wav","5a5479b4ac56240001537ffa","fricative","french","schwa","English",1,3
"213","fin","span","1.148148148","stim/p_schwa_f.wav","5a5479b4ac56240001537ffa","bilabial","french","schwa","English",0,1
"214","fool","eng","2.97037054","stim/peuf_f.wav","5a5479b4ac56240001537ffa","bilabial","french","y","English",1,2
"215","feel","eng","2.029629743","stim/pif_f.wav","5a5479b4ac56240001537ffa","bilabial","french","i","English",1,7
"216","feel","eng","3.514814871","stim/fif_f.wav","5a5479b4ac56240001537ffa","fricative","french","i","English",1,7
"217","fun","eng","1.977777834","stim/pof_f.wav","5a5479b4ac56240001537ffa","bilabial","french","o","English",1,3
"218","feel","eng","3","stim/fif_f.wav","5a5479b4ac56240001537ffa","fricative","french","i","English",1,7
"219","fun","eng","2.011111224","stim/p_schwa_f.wav","5a5479b4ac56240001537ffa","bilabial","french","schwa","English",1,3
"220","fin","span","2.018518519","stim/f_schwa_f.wav","5a5479b4ac56240001537ffa","fricative","french","schwa","English",0,1
"221","fool","eng","1.981481481","stim/peuf_f.wav","5a5479b4ac56240001537ffa","bilabial","french","y","English",1,2
"222","feel","eng","2.944444444","stim/pif_f.wav","5a5479b4ac56240001537ffa","bilabial","french","i","English",1,7
"223","fool","eng","2.985185129","stim/feuf_f.wav","5a5479b4ac56240001537ffa","fricative","french","y","English",1,2
"224","fought","eng","1.974074187","stim/fof_f.wav","5a5479b4ac56240001537ffa","fricative","french","o","English",1,4
"225","fun","eng","1.633333418","stim/f_schwa_f.wav","5a5479b4ac56240001537ffa","fricative","french","schwa","English",1,3
"226","feel","eng","3.311111168","stim/fif_f.wav","5a5479b4ac56240001537ffa","fricative","french","i","English",1,7
"227","feel","eng","2.992592706","stim/pif_f.wav","5a5479b4ac56240001537ffa","bilabial","french","i","English",1,7
"228","fool","eng","3.451852021","stim/fof_f.wav","5a5479b4ac56240001537ffa","fricative","french","o","English",1,2
"229","fun","eng","1.466666751","stim/p_schwa_f.wav","5a5479b4ac56240001537ffa","bilabial","french","schwa","English",1,3
"230","fool","eng","3.422222279","stim/feuf_f.wav","5a5479b4ac56240001537ffa","fricative","french","y","English",1,2
"231","fool","eng","2.455555669","stim/peuf_f.wav","5a5479b4ac56240001537ffa","bilabial","french","y","English",1,2
"232","fun","eng","1.48518527","stim/pof_f.wav","5a5479b4ac56240001537ffa","bilabial","french","o","English",1,3
"233","fool","eng","3.366666723","stim/peuf_f.wav","5a5479b4ac56240001537ffa","bilabial","french","y","English",1,2
"234","fun","eng","3.681481538","stim/fof_f.wav","5a5479b4ac56240001537ffa","fricative","french","o","English",1,3
"235","fought","eng","2.244444388","stim/f_schwa_f.wav","5a5479b4ac56240001537ffa","fricative","french","schwa","English",1,4
"236","feel","eng","2.992592706","stim/pif_f.wav","5a5479b4ac56240001537ffa","bilabial","french","i","English",1,7
"237","feel","eng","2.97037054","stim/fif_f.wav","5a5479b4ac56240001537ffa","fricative","french","i","English",1,7
"238","fool","eng","3.496296353","stim/feuf_f.wav","5a5479b4ac56240001537ffa","fricative","french","y","English",1,2
"239","fin","span","1.062962991","stim/p_schwa_f.wav","5a5479b4ac56240001537ffa","bilabial","french","schwa","English",0,1
"240","fun","eng","1.462962963","stim/pof_f.wav","5a5479b4ac56240001537ffa","bilabial","french","o","English",1,3
"241","fun","eng","2.957469438","stim/pof_f.wav","5a6d5ae19d65ec00017e9bae","bilabial","french","o","English",1,3
"242","fin","span","4.995467211","stim/fif_f.wav","5a6d5ae19d65ec00017e9bae","fricative","french","i","English",0,1
