session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Record Audio,Sex,Student Status
62a8d66281a18bd36f9ee73e,5ca8f48c5689db001729e1f4,RETURNED,2022-06-14 18:41:38.506000,,268404.444801,42,2229,7,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8d6accba5b02f2a4a9034,60ca4cfb5c287146cad0695a,RETURNED,2022-06-14 18:42:52.032000,,268330.932898,38,1715,9,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8d6fc082463d9a690de77,57bf14513c449a000189c89a,APPROVED,2022-06-14 18:46:59.338000,2022-06-14 19:20:55.875000,2036.537,68,2401,0,100,2022-06-17 17:12:36.925000,NOCODE,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Yes,Male,No
62a8dc1b5e08859e1440e9ec,62728e9f272ecd43323af13b,APPROVED,2022-06-14 19:06:07.424000,2022-06-14 19:37:36.649000,1889.225,42,209,0,100,2022-06-17 17:12:36.996000,NOCODE,United States,United States,Unemployed (and job seeking),English,English,United States,Yes,Male,No
62a8de4aee2b36452da02418,615fad239fd8b6f7c048057a,RETURNED,2022-06-14 19:15:26.175000,,266376.840165,35,1439,26,93,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8de565d5063bfe717d153,58f3760092ac81000154f8af,RETURNED,2022-06-14 19:25:34.016000,,265769.015558,29,3722,11,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8de734bc5e27086f50c7d,6237e3dd84d00736f51ed0e4,APPROVED,2022-06-14 19:16:03.834000,2022-06-14 20:00:51.180000,2687.346,50,640,2,100,2022-06-17 17:12:37.110000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,No
62a8de7aff616a0a35abd3d9,5ec00f62cf12be40ea6fe344,APPROVED,2022-06-14 19:16:41.836000,2022-06-14 19:34:10.570000,1048.734,47,2489,11,99,2022-06-17 17:12:37.179000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Female,No
62a8e15550edb59d35644eb1,60fd05e540846ba7851b2928,RETURNED,2022-06-14 19:28:50.640000,,265572.44445,19,1087,13,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8e1832cdaa7ab43eb5fcc,5cb67a7ab73e8a001507fae5,RETURNED,2022-06-14 19:29:30.123000,,265532.978224,51,854,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a8e1a85cfe1aed9311ecbd,5d453e8723a5bb0001492546,APPROVED,2022-06-14 19:29:44.166000,2022-06-14 20:19:20.715000,2976.549,28,1353,15,98,2022-06-17 17:12:37.269000,NOCODE,United States,United States,Full-Time,English,English,United States,Yes,Male,Yes
